target_dataset,hparam_id,n,mean,min,max
KuaiRecLargeStrictPosV2_0.2,shared_3,3,0.3373333333333333,0.3352,0.3394
KuaiRecLargeStrictPosV2_0.2,shared_4,3,0.3364666666666667,0.335,0.3384
KuaiRecLargeStrictPosV2_0.2,shared_5,3,0.3381,0.3373,0.339
KuaiRecLargeStrictPosV2_0.2,shared_6,3,0.3367,0.3351,0.3398
beauty,shared_3,3,0.07156666666666667,0.0697,0.073
beauty,shared_4,3,0.06383333333333334,0.0564,0.0748
beauty,shared_5,3,0.06466666666666666,0.0604,0.0669
beauty,shared_6,3,0.05876666666666667,0.0535,0.0668
foursquare,shared_3,3,0.16416666666666666,0.1629,0.1664
foursquare,shared_4,3,0.16676666666666667,0.166,0.1682
foursquare,shared_5,3,0.16756666666666667,0.1647,0.1712
foursquare,shared_6,3,0.1679,0.1626,0.1721
lastfm0.03,shared_3,3,0.30866666666666664,0.3075,0.3104
lastfm0.03,shared_4,3,0.3090333333333333,0.308,0.3102
lastfm0.03,shared_5,3,0.3081,0.3051,0.3112
lastfm0.03,shared_6,3,0.3071333333333333,0.3054,0.3086
movielens1m,shared_3,3,0.0624,0.0583,0.0662
movielens1m,shared_4,3,0.0588,0.0559,0.0606
movielens1m,shared_5,3,0.0572,0.0551,0.0594
movielens1m,shared_6,3,0.058499999999999996,0.0571,0.0602
retail_rocket,shared_3,3,0.3707,0.3687,0.3727
retail_rocket,shared_4,3,0.37043333333333334,0.3681,0.372
retail_rocket,shared_5,3,0.3703,0.3688,0.3714
retail_rocket,shared_6,3,0.3708,0.3689,0.3727
