dataset,family,feature_mean,feature_std,spread_index,effective_dimension
Beauty,Tempo,0.3905742608357598,0.2329950862653808,0.06293407726399433,0.9060059198791671
Beauty,Focus,0.5191564498051752,0.10881174744987096,0.04424413746923648,0.3727916166984882
Beauty,Memory,0.47185580517974646,0.11358791337261215,0.04818221493404515,0.36855776726622147
Beauty,Exposure,0.48613589268501767,0.11914711622606418,0.052316371447374124,0.5278579792718329
Foursquare,Tempo,0.6387598818619766,0.2864730004443708,0.25107508999454525,0.8212802201444297
Foursquare,Focus,0.6446261377277901,0.26965372119541775,0.1914405866114458,0.39605845691037245
Foursquare,Memory,0.2824304519710857,0.21141074616364877,0.07823130329620416,0.44981723442059746
Foursquare,Exposure,0.6152643668971929,0.2713380345927014,0.22599319848004912,0.3886435374973828
KuaiRec,Tempo,0.6189357689109817,0.28618409672976003,0.24156115972242057,0.8424425322706133
KuaiRec,Focus,0.6286029757394008,0.27904552715864733,0.1294998005741904,0.4133531114075926
KuaiRec,Memory,0.23713033487677262,0.2239330289052737,0.06850549915148864,0.6382396606797703
KuaiRec,Exposure,0.650300571494455,0.269418942624751,0.2049448563046745,0.3548599445943858
LastFM,Tempo,0.6574347683025613,0.2892375536032054,0.1882330902718398,0.7054608604997787
LastFM,Focus,0.6021735693360081,0.26214100821908426,0.25474590938638714,0.5037604453661204
LastFM,Memory,0.27487241428086634,0.23988707688657912,0.07707411993285272,0.58791539355599
LastFM,Exposure,0.6110113305630852,0.26354474078870793,0.2144324789137952,0.38063710620149627
ML-1M,Tempo,0.46023941977805755,0.26375511541907437,0.23548389695054553,0.6914317502660045
ML-1M,Focus,0.573239385808429,0.20579688562026943,0.14341364382231797,0.5806965188970186
ML-1M,Memory,0.38567717699343634,0.21763251961580568,0.12446145731755155,0.3956877408610973
ML-1M,Exposure,0.5940957922458828,0.2039109556993813,0.13928756943116072,0.41672990722232844
Retail Rocket,Tempo,0.4043967724681147,0.23640121700733205,0.0980128865908214,0.5004578126846947
Retail Rocket,Focus,0.518597239501817,0.17227283074151964,0.10717488246318163,0.3826912314162628
Retail Rocket,Memory,0.48270568017347387,0.11421654160686105,0.04975076203147431,0.625579750879757
Retail Rocket,Exposure,0.517318707222352,0.12873996369867302,0.0638100819061665,0.5690621591496602
