combo_id,combo_family,combo_role,combo_desc,layout,routing_granularity,stage_feature_encoder_mode,stage_router_mode,stage_router_source,stage_feature_injection,baseline_delta,has_diag,smoke_total_min,smoke_trial_min,fixed_overhead_min,observed_smoke_total_min,observed_smoke_trial_min,est_50ep_single_eval_min,recommended_max_evals,recommended_total_budget_min,runtime_bucket,runtime_reason,source_log
M22,M,full learned MoE both anchor,full_moe_both_anchor,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","C3 baseline -> full learned router, hidden+feature",True,1.6,1.2,0.4,,,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/036_M22_full_moe_both_anchor.log
R30,R,full rule_soft,full_rule_soft,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'rule_soft', 'mid': 'rule_soft', 'micro': 'rule_soft'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> rule_soft routing on all stages,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/012_R30_full_rule_soft.log
R31,R,full learned MoE hidden-only,full_moe_hidden_only,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'hidden', 'mid': 'hidden', 'micro': 'hidden'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> learned router hidden-only,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/013_R31_full_moe_hidden_only.log
R32,R,full learned MoE feature-only,full_moe_feature_only,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'feature', 'mid': 'feature', 'micro': 'feature'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> learned router feature-only,True,1.7,1.3,0.4,2.6,2.3,65.4,3,196.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/014_R32_full_moe_feature_only.log
R33,R,full learned hidden-only plus gated bias,full_moe_hidden_gated_bias,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'hidden', 'mid': 'hidden', 'micro': 'hidden'}","{'macro': 'gated_bias', 'mid': 'gated_bias', 'micro': 'gated_bias'}",C3 baseline -> learned router hidden-only + gated bias injection,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/015_R33_full_moe_hidden_gated_bias.log
R34,R,hybrid macro learned both plus mid micro rule,hybrid_macro_learn_mid_micro_rule,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'rule_soft', 'micro': 'rule_soft'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","C3 baseline -> macro learned both, mid/micro rule_soft",True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/016_R34_hybrid_macro_learn_mid_micro_rule.log
E40,E,full learned both plus complex encoder all,full_moe_both_complex_all,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'complex', 'mid': 'complex', 'micro': 'complex'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> complex feature encoder on all stages,True,1.7,1.3,0.4,2.6,2.3,65.4,3,196.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/017_E40_full_moe_both_complex_all.log
E41,E,full learned both plus complex encoder macro,full_moe_both_complex_macro,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'complex', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> complex feature encoder on macro only,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/018_E41_full_moe_both_complex_macro.log
E42,E,full learned both plus complex encoder mid,full_moe_both_complex_mid,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'complex', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> complex feature encoder on mid only,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/019_E42_full_moe_both_complex_mid.log
T50,T,token routing mid and micro,full_moe_both_mid_token,macro mid micro,"{'macro': 'session', 'mid': 'token', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","C3 baseline -> macro session, mid token, micro token",True,1.7,1.3,0.4,1.7,1.3,65.4,3,196.2,heavy,full 3-stage MoE + token-level routing on extra stages; router work increases,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/029_T50_full_moe_both_mid_token.log
T51,T,token routing macro mid micro,full_moe_both_all_token,macro mid micro,"{'macro': 'token', 'mid': 'token', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","C3 baseline -> macro token, mid token, micro token",True,1.7,1.3,0.4,2.6,2.2,65.4,3,196.2,heavy,full 3-stage MoE + token-level routing on extra stages; router work increases,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/021_T51_full_moe_both_all_token.log
X60,X,macro window ablation,m22_macro_window_10,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> M22 + macro window 10,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/022_X60_m22_macro_window_10.log
X61,X,feature family ablation,m22_tempo_memory_only,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> M22 + Tempo+Memory only,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/023_X61_m22_tempo_memory_only.log
X62,X,sequence length ablation,m22_len_30,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> M22 + max len 30,True,1.8,1.4,0.4,2.7,2.3,70.4,3,211.2,heavy,full 3-stage MoE + longer len=30; attention and eval passes get heavier,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/024_X62_m22_len_30.log
X63,X,sparse expert ablation,m22_topk_2,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> M22 + top_k=2,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE/rule path with diag on; valid/test/feature-ablation eval dominates,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/025_X63_m22_topk_2.log
C70,C,capacity full learned both,m22_expert_scale_3,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'learned', 'mid': 'learned', 'micro': 'learned'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> M22 + expert scale 3,True,1.6,1.2,0.4,2.6,2.2,60.4,3,181.2,heavy,full 3-stage MoE + expert_scale=3; expert MLP cost grows despite smaller batch,experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/026_C70_m22_expert_scale_3.log
C71,C,capacity dense plain control,dense_plain_param_match_c70,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}",C3 baseline -> C70 param-matched dense plain,False,0.6,0.2,0.4,0.6,0.2,10.4,3,31.2,fast,"dense stage wrapper only; diag off, no expert routing dispatch",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/027_C71_dense_plain_param_match_c70.log
C72,C,capacity dense FiLM control,dense_film_param_match_c70,macro mid micro,"{'macro': 'session', 'mid': 'session', 'micro': 'token'}","{'macro': 'linear', 'mid': 'linear', 'micro': 'linear'}","{'macro': 'none', 'mid': 'none', 'micro': 'none'}","{'macro': 'both', 'mid': 'both', 'micro': 'both'}","{'macro': 'film', 'mid': 'film', 'micro': 'film'}",C3 baseline -> C70 param-matched dense FiLM,False,0.6,0.22,0.38,0.6,0.22,11.2,3,33.6,fast,"dense stage wrapper only; diag off, no expert routing dispatch",experiments/run/artifacts/logs/fmoe_n3/core_ablation_v2/CORE28/KuaiRecLargeStrictPosV2_0.2/FMoEN3/028_C72_dense_film_param_match_c70.log
