dataset,split,sessions,interactions,avg_len,variance,stddev,min_len,p25,median,p75,p90,p95,max_len,path
KuaiRecLargeStrictPosV2_0.2,all,24458,287411,11.7512,108.5414,10.4183,1,6.00,8.00,12.00,24.00,39.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/KuaiRecLargeStrictPosV2_0.2/KuaiRecLargeStrictPosV2_0.2.inter
KuaiRecLargeStrictPosV2_0.2,train,17120,201966,11.7971,109.3536,10.4572,1,6.00,8.00,12.00,24.00,39.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/KuaiRecLargeStrictPosV2_0.2/KuaiRecLargeStrictPosV2_0.2.train.inter
KuaiRecLargeStrictPosV2_0.2,valid,3669,33853,9.2268,96.2048,9.8084,1,4.00,6.00,10.00,20.00,32.60,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/KuaiRecLargeStrictPosV2_0.2/KuaiRecLargeStrictPosV2_0.2.valid.inter
KuaiRecLargeStrictPosV2_0.2,test,3669,14614,3.9831,19.5931,4.4264,1,1.00,3.00,5.00,8.00,12.00,47,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/KuaiRecLargeStrictPosV2_0.2/KuaiRecLargeStrictPosV2_0.2.test.inter
amazon_beauty,all,756,8635,11.4220,86.9555,9.3250,2,6.00,8.00,12.00,22.00,33.25,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/amazon_beauty/amazon_beauty.inter
amazon_beauty,train,529,6120,11.5690,89.0052,9.4343,6,6.00,8.00,12.00,22.20,30.60,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/amazon_beauty/amazon_beauty.train.inter
amazon_beauty,valid,113,1097,9.7080,66.7731,8.1715,1,6.00,7.00,11.00,22.40,30.40,42,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/amazon_beauty/amazon_beauty.valid.inter
amazon_beauty,test,114,544,4.7719,13.6497,3.6946,1,2.00,4.00,6.00,8.00,10.00,23,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/amazon_beauty/amazon_beauty.test.inter
beauty,all,4243,33488,7.8925,29.9833,5.4757,5,5.00,6.00,8.00,13.00,17.00,81,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/beauty/beauty.inter
beauty,train,2970,22529,7.5855,23.8683,4.8855,5,5.00,6.00,8.00,12.00,16.00,81,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/beauty/beauty.train.inter
beauty,valid,636,4252,6.6855,13.8791,3.7255,1,5.00,6.00,7.00,11.00,13.25,36,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/beauty/beauty.valid.inter
beauty,test,637,3468,5.4443,9.2453,3.0406,1,4.00,5.00,6.00,9.00,11.00,27,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/beauty/beauty.test.inter
foursquare,all,25369,145238,5.7250,29.2167,5.4052,1,3.00,4.00,6.00,10.00,14.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/foursquare/foursquare.inter
foursquare,train,17758,105683,5.9513,32.2217,5.6764,1,3.00,4.00,6.00,10.00,15.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/foursquare/foursquare.train.inter
foursquare,valid,3805,15638,4.1099,13.4975,3.6739,1,3.00,3.00,4.00,7.00,9.00,49,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/foursquare/foursquare.valid.inter
foursquare,test,3806,15223,3.9997,13.3996,3.6606,1,2.00,3.00,4.00,7.00,9.00,46,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/foursquare/foursquare.test.inter
lastfm0.03,all,25089,470408,18.7496,192.0632,13.8587,5,8.00,13.00,26.00,44.00,49.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/lastfm0.03/lastfm0.03.inter
lastfm0.03,train,17562,340694,19.3995,204.2761,14.2925,5,8.00,14.00,28.00,46.00,50.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/lastfm0.03/lastfm0.03.train.inter
lastfm0.03,valid,3763,55816,14.8328,145.7502,12.0727,1,6.00,10.00,20.00,34.00,43.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/lastfm0.03/lastfm0.03.valid.inter
lastfm0.03,test,3764,49241,13.0821,129.8081,11.3933,1,5.00,9.00,18.00,31.00,39.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/lastfm0.03/lastfm0.03.test.inter
movielens1m,all,14539,575281,39.5681,227.4559,15.0816,1,28.00,50.00,50.00,50.00,50.00,50,/workspace/FeaturedMoE/Datasets/processed/feature_added_v4/movielens1m/movielens1m.inter
