pair_id,target_hparam,source_hparam,mode,mode_raw,run_phase,timestamp,hit@5,hit@10,hit@20,ndcg@5,ndcg@10,ndcg@20,mrr@5,mrr@10,mrr@20
amazon_to_retail,H2,H2,encoder_only,feature_init,P15A_TGT_amazon_to_retail_A12_feature_init_H2_H2_S1,2026-04-13T16:22:27.208351,0.3946,0.4634,0.5246,0.3101,0.3324,0.3479,0.282,0.2912,0.2955
amazon_to_retail,H2,H3,encoder_only,feature_init,P15A_TGT_amazon_to_retail_A12_feature_init_H3_H2_S1,2026-04-13T20:36:04.502609,0.3946,0.4634,0.5246,0.3101,0.3324,0.3479,0.282,0.2912,0.2955
amazon_to_retail,H2,H2,encoder_plus_group_router,encoder_all_init,P15A_TGT_amazon_to_retail_A12_encoder_all_init_H2_H2_S1,2026-04-13T16:58:44.718637,0.3872,0.4528,0.5124,0.3071,0.3284,0.3435,0.2805,0.2893,0.2935
amazon_to_retail,H2,H3,encoder_plus_group_router,encoder_all_init,P15A_TGT_amazon_to_retail_A12_encoder_all_init_H3_H2_S1,2026-04-13T22:14:02.750855,0.3869,0.453,0.5125,0.3071,0.3285,0.3436,0.2805,0.2894,0.2935
amazon_to_retail,H2,H2,group_router,group_init,P15A_TGT_amazon_to_retail_A12_group_init_H2_H2_S1,2026-04-13T16:34:04.298107,0.3876,0.4532,0.513,0.3074,0.3287,0.3438,0.2807,0.2895,0.2937
amazon_to_retail,H2,H3,group_router,group_init,P15A_TGT_amazon_to_retail_A12_group_init_H3_H2_S1,2026-04-13T22:07:56.559194,0.3932,0.4588,0.5187,0.3123,0.3335,0.3487,0.2854,0.2942,0.2984
amazon_to_retail,H2,native,native,native,P15A_TGT_amazon_to_retail_A12_native_native_H2_S1,2026-04-13T15:43:44.313753,0.3946,0.4634,0.5246,0.3101,0.3324,0.3479,0.282,0.2912,0.2955
amazon_to_retail,H3,H2,encoder_only,feature_init,P15A_TGT_amazon_to_retail_A12_feature_init_H2_H3_S1,2026-04-13T17:17:44.568760,0.3838,0.4506,0.5101,0.301,0.3226,0.3377,0.2735,0.2823,0.2866
amazon_to_retail,H3,H3,encoder_only,feature_init,P15A_TGT_amazon_to_retail_A12_feature_init_H3_H3_S1,2026-04-13T18:25:11.107596,0.3838,0.4506,0.5101,0.301,0.3226,0.3377,0.2735,0.2823,0.2866
amazon_to_retail,H3,H2,encoder_plus_group_router,encoder_all_init,P15A_TGT_amazon_to_retail_A12_encoder_all_init_H2_H3_S1,2026-04-13T18:02:30.608148,0.3787,0.4416,0.5015,0.2999,0.3203,0.3355,0.2737,0.2822,0.2864
amazon_to_retail,H3,H3,encoder_plus_group_router,encoder_all_init,P15A_TGT_amazon_to_retail_A12_encoder_all_init_H3_H3_S1,2026-04-13T20:27:50.680209,0.3784,0.4412,0.5011,0.2996,0.3199,0.3351,0.2734,0.2818,0.286
amazon_to_retail,H3,H2,group_router,group_init,P15A_TGT_amazon_to_retail_A12_group_init_H2_H3_S1,2026-04-13T17:41:01.635643,0.388,0.454,0.5131,0.3061,0.3275,0.3425,0.2789,0.2878,0.2919
amazon_to_retail,H3,H3,group_router,group_init,P15A_TGT_amazon_to_retail_A12_group_init_H3_H3_S1,2026-04-13T19:58:20.121863,0.3879,0.4538,0.513,0.3061,0.3274,0.3425,0.2789,0.2877,0.2919
amazon_to_retail,H3,native,native,native,P15A_TGT_amazon_to_retail_A12_native_native_H3_S1,2026-04-13T15:56:51.237298,0.3838,0.4506,0.5101,0.301,0.3226,0.3377,0.2735,0.2823,0.2866
foursquare_to_movielens,H3,H3,all_router,group_init_all_routers,P15A_TGT_foursquare_to_movielens_A12_group_init_all_routers_H3_H3_S1,2026-04-14T03:45:44.359266,0.1043,0.1689,0.2783,0.066,0.0869,0.1142,0.0536,0.0622,0.0695
foursquare_to_movielens,H3,H5,all_router,group_init_all_routers,P15A_TGT_foursquare_to_movielens_A12_group_init_all_routers_H5_H3_S1,2026-04-14T04:12:41.399345,0.1075,0.1795,0.258,0.0712,0.0942,0.1139,0.0592,0.0685,0.0739
foursquare_to_movielens,H3,H3,encoder_only,feature_init,P15A_TGT_foursquare_to_movielens_A12_feature_init_H3_H3_S1,2026-04-13T23:42:53.585835,0.1011,0.1707,0.257,0.0613,0.0837,0.1055,0.0484,0.0575,0.0635
foursquare_to_movielens,H3,H5,encoder_only,feature_init,P15A_TGT_foursquare_to_movielens_A12_feature_init_H5_H3_S1,2026-04-14T02:54:41.396619,0.1098,0.1777,0.264,0.0724,0.0943,0.1159,0.0601,0.0692,0.075
foursquare_to_movielens,H3,H3,encoder_plus_group_router,encoder_all_init,P15A_TGT_foursquare_to_movielens_A12_encoder_all_init_H3_H3_S1,2026-04-14T00:32:16.720465,0.1043,0.1689,0.2783,0.066,0.0869,0.1142,0.0536,0.0622,0.0695
foursquare_to_movielens,H3,H3,group_router,group_init,P15A_TGT_foursquare_to_movielens_A12_group_init_H3_H3_S1,2026-04-14T00:00:25.205082,0.1084,0.1735,0.264,0.0696,0.0906,0.1135,0.057,0.0656,0.0719
foursquare_to_movielens,H3,H5,group_router,group_init,P15A_TGT_foursquare_to_movielens_A12_group_init_H5_H3_S1,2026-04-14T03:52:44.282570,0.1052,0.1721,0.2533,0.0661,0.0876,0.108,0.0532,0.062,0.0676
foursquare_to_movielens,H3,native,native,native,P15A_TGT_foursquare_to_movielens_A12_native_native_H3_S1,2026-04-13T22:53:47.007347,0.1011,0.1707,0.257,0.0613,0.0837,0.1055,0.0484,0.0575,0.0635
foursquare_to_movielens,H5,H3,all_router,group_init_all_routers,P15A_TGT_foursquare_to_movielens_A12_group_init_all_routers_H3_H5_S1,2026-04-14T04:11:39.128699,0.096,0.1624,0.263,0.0609,0.0823,0.1076,0.0494,0.0583,0.0651
foursquare_to_movielens,H5,H3,encoder_only,feature_init,P15A_TGT_foursquare_to_movielens_A12_feature_init_H3_H5_S1,2026-04-14T00:51:33.759613,0.1038,0.1707,0.2603,0.0675,0.0889,0.1111,0.0557,0.0644,0.0702
foursquare_to_movielens,H5,H5,encoder_only,feature_init,P15A_TGT_foursquare_to_movielens_A12_feature_init_H5_H5_S1,2026-04-14T02:31:49.910599,0.1038,0.1707,0.2603,0.0675,0.0889,0.1111,0.0557,0.0644,0.0702
foursquare_to_movielens,H5,H3,encoder_plus_group_router,encoder_all_init,P15A_TGT_foursquare_to_movielens_A12_encoder_all_init_H3_H5_S1,2026-04-14T01:50:25.965700,0.102,0.1717,0.2663,0.0645,0.087,0.1108,0.0522,0.0614,0.0679
foursquare_to_movielens,H5,H5,encoder_plus_group_router,encoder_all_init,P15A_TGT_foursquare_to_movielens_A12_encoder_all_init_H5_H5_S1,2026-04-14T02:54:00.620466,0.0969,0.1546,0.2584,0.06,0.0786,0.1046,0.048,0.0556,0.0626
foursquare_to_movielens,H5,H3,group_router,group_init,P15A_TGT_foursquare_to_movielens_A12_group_init_H3_H5_S1,2026-04-14T01:34:06.261586,0.102,0.1758,0.2672,0.0639,0.0875,0.1106,0.0515,0.0611,0.0674
foursquare_to_movielens,H5,H5,group_router,group_init,P15A_TGT_foursquare_to_movielens_A12_group_init_H5_H5_S1,2026-04-14T02:44:20.078402,0.1057,0.1758,0.2658,0.0681,0.0905,0.113,0.0559,0.065,0.0711
foursquare_to_movielens,H5,native,native,native,P15A_TGT_foursquare_to_movielens_A12_native_native_H5_S1,2026-04-13T23:14:26.146476,0.1038,0.1707,0.2603,0.0675,0.0889,0.1111,0.0557,0.0644,0.0702
kuairec_to_lastfm,H3,H3,encoder_only,feature_init,P15A_TGT_kuairec_to_lastfm_A12_feature_init_H3_H3_S1,2026-04-13T07:58:29.835975,0.2752,0.2893,0.3023,0.2441,0.2486,0.2519,0.2336,0.2355,0.2364
kuairec_to_lastfm,H3,H7,encoder_only,feature_init,P15A_TGT_kuairec_to_lastfm_A12_feature_init_H7_H3_S1,2026-04-13T12:18:51.090100,0.2752,0.2893,0.3023,0.2441,0.2486,0.2519,0.2336,0.2355,0.2364
kuairec_to_lastfm,H3,H3,encoder_plus_group_router,encoder_all_init,P15A_TGT_kuairec_to_lastfm_A12_encoder_all_init_H3_H3_S1,2026-04-13T09:00:21.836296,0.2784,0.2909,0.3047,0.2478,0.2519,0.2554,0.2376,0.2393,0.2402
kuairec_to_lastfm,H3,H7,encoder_plus_group_router,encoder_all_init,P15A_TGT_kuairec_to_lastfm_A12_encoder_all_init_H7_H3_S1,2026-04-13T13:24:01.419791,0.2744,0.2891,0.3007,0.2458,0.2505,0.2535,0.2361,0.2381,0.239
kuairec_to_lastfm,H3,H3,group_router,group_init,P15A_TGT_kuairec_to_lastfm_A12_group_init_H3_H3_S1,2026-04-13T08:00:16.445847,0.2744,0.2893,0.3029,0.2462,0.2511,0.2545,0.2368,0.2388,0.2398
kuairec_to_lastfm,H3,H7,group_router,group_init,P15A_TGT_kuairec_to_lastfm_A12_group_init_H7_H3_S1,2026-04-13T13:19:19.205662,0.2742,0.2899,0.3031,0.246,0.2511,0.2545,0.2366,0.2387,0.2396
kuairec_to_lastfm,H3,native,native,native,P15A_TGT_kuairec_to_lastfm_A12_native_native_H3_S1,2026-04-13T06:53:16.233700,0.2752,0.2893,0.3023,0.244,0.2485,0.2518,0.2335,0.2354,0.2362
kuairec_to_lastfm,H7,H3,encoder_only,feature_init,P15A_TGT_kuairec_to_lastfm_A12_feature_init_H3_H7_S1,2026-04-13T09:03:37.288843,0.2766,0.2888,0.3026,0.245,0.249,0.2525,0.2345,0.2361,0.237
kuairec_to_lastfm,H7,H7,encoder_only,feature_init,P15A_TGT_kuairec_to_lastfm_A12_feature_init_H7_H7_S1,2026-04-13T11:08:33.264526,0.2766,0.2888,0.3026,0.245,0.249,0.2525,0.2345,0.2361,0.237
kuairec_to_lastfm,H7,H3,encoder_plus_group_router,encoder_all_init,P15A_TGT_kuairec_to_lastfm_A12_encoder_all_init_H3_H7_S1,2026-04-13T10:06:44.227806,0.2771,0.2933,0.3066,0.2451,0.2504,0.2537,0.2343,0.2365,0.2374
kuairec_to_lastfm,H7,H7,encoder_plus_group_router,encoder_all_init,P15A_TGT_kuairec_to_lastfm_A12_encoder_all_init_H7_H7_S1,2026-04-13T12:14:26.788650,0.2752,0.2891,0.3047,0.2441,0.2485,0.2525,0.2336,0.2354,0.2365
kuairec_to_lastfm,H7,H3,group_router,group_init,P15A_TGT_kuairec_to_lastfm_A12_group_init_H3_H7_S1,2026-04-13T10:01:58.725833,0.2787,0.292,0.3069,0.2448,0.249,0.2527,0.2334,0.2351,0.2361
kuairec_to_lastfm,H7,H7,group_router,group_init,P15A_TGT_kuairec_to_lastfm_A12_group_init_H7_H7_S1,2026-04-13T11:08:59.434801,0.2776,0.2914,0.3066,0.2445,0.249,0.2528,0.2334,0.2352,0.2362
kuairec_to_lastfm,H7,native,native,native,P15A_TGT_kuairec_to_lastfm_A12_native_native_H7_S1,2026-04-13T06:50:40.722134,0.2766,0.2888,0.3026,0.245,0.249,0.2525,0.2345,0.2361,0.237
