dataset,split,subset_rows,subset_sessions,tier,full_rows,full_sessions,row_pct_of_split,session_pct_of_split
KuaiRecLargeStrictPosV2_0.2,valid,8666,655,pure,33853,3669,0.25598912947153873,0.17852275824475333
KuaiRecLargeStrictPosV2_0.2,test,3967,594,pure,14614,3669,0.27145203229779663,0.16189697465249386
lastfm0.03,valid,18840,952,pure,55816,3763,0.33753762362046724,0.2529896359287802
lastfm0.03,test,15392,882,pure,49241,3764,0.31258504092118355,0.23432518597236981
beauty,valid,1369,195,pure,4252,636,0.3219661335841957,0.30660377358490565
beauty,test,1350,228,pure,3468,637,0.3892733564013841,0.3579277864992151
foursquare,valid,7281,1358,pure,15638,3805,0.46559662360915716,0.3568988173455979
foursquare,test,7139,1383,pure,15223,3806,0.46896143992642714,0.36337362059905415
movielens1m,valid,71464,1809,pure,89000,2181,0.8029662921348315,0.8294360385144429
movielens1m,test,71677,2010,pure,79524,2181,0.9013253860469795,0.921595598349381
retail_rocket,valid,48590,8692,pure,105278,22964,0.4615399228708752,0.378505486848981
retail_rocket,test,46715,8812,pure,99387,22964,0.47003129181884956,0.38373105730708934
KuaiRecLargeStrictPosV2_0.2,valid,5858,449,permissive,33853,3669,0.17304227099518507,0.12237666939220496
KuaiRecLargeStrictPosV2_0.2,test,4657,709,permissive,14614,3669,0.3186670316135213,0.19324066503134368
lastfm0.03,valid,2557,96,permissive,55816,3763,0.045811236921312885,0.025511559925591284
lastfm0.03,test,2356,98,permissive,49241,3764,0.04784630693933917,0.026036131774707757
beauty,valid,1061,145,permissive,4252,636,0.24952963311382878,0.2279874213836478
beauty,test,885,150,permissive,3468,637,0.25519031141868515,0.23547880690737832
foursquare,valid,4988,746,permissive,15638,3805,0.3189666197723494,0.19605781865965835
foursquare,test,4828,770,permissive,15223,3806,0.3171516783813966,0.2023121387283237
movielens1m,valid,33211,852,permissive,89000,2181,0.3731573033707865,0.390646492434663
movielens1m,test,30190,823,permissive,79524,2181,0.3796338212363563,0.37734983952315454
retail_rocket,valid,8737,802,permissive,105278,22964,0.08298979843842018,0.03492422922835743
retail_rocket,test,8397,817,permissive,99387,22964,0.08448791089377887,0.035577425535620974
