dataset,split,subset_rows,subset_sessions,tier,group,full_rows,full_sessions,row_pct_of_split,session_pct_of_split
KuaiRecLargeStrictPosV2_0.2,valid,1151,94,pure,memory_plus,33853,3669,0.03399994092104097,0.025620059961842464
KuaiRecLargeStrictPosV2_0.2,test,595,80,pure,memory_plus,14614,3669,0.04071438346790748,0.021804306350504225
lastfm0.03,valid,3145,141,pure,memory_plus,55816,3763,0.05634585065214275,0.037470103640712196
lastfm0.03,test,2321,128,pure,memory_plus,49241,3764,0.04713551715034219,0.03400637619553666
beauty,valid,122,26,pure,memory_plus,4252,636,0.028692380056444027,0.040880503144654086
beauty,test,144,34,pure,memory_plus,3468,637,0.04152249134948097,0.05337519623233909
foursquare,valid,2189,201,pure,memory_plus,15638,3805,0.13997953702519503,0.05282522996057819
foursquare,test,2078,201,pure,memory_plus,15223,3806,0.1365039742494909,0.05281135049921177
movielens1m,valid,6220,363,pure,memory_plus,89000,2181,0.0698876404494382,0.16643741403026135
movielens1m,test,6283,494,pure,memory_plus,79524,2181,0.07900759519138877,0.22650160476845485
retail_rocket,valid,7015,1341,pure,memory_plus,105278,22964,0.06663310473223276,0.05839574986936074
retail_rocket,test,6681,1367,pure,memory_plus,99387,22964,0.06722207129705092,0.05952795680195088
KuaiRecLargeStrictPosV2_0.2,valid,3927,94,pure,memory_minus,33853,3669,0.11600153605293474,0.025620059961842464
KuaiRecLargeStrictPosV2_0.2,test,1493,80,pure,memory_minus,14614,3669,0.10216231011358971,0.021804306350504225
lastfm0.03,valid,6011,141,pure,memory_minus,55816,3763,0.10769313458506521,0.037470103640712196
lastfm0.03,test,5042,128,pure,memory_minus,49241,3764,0.10239434617493552,0.03400637619553666
beauty,valid,458,26,pure,memory_minus,4252,636,0.1077140169332079,0.040880503144654086
beauty,test,352,34,pure,memory_minus,3468,637,0.10149942329873125,0.05337519623233909
foursquare,valid,1556,201,pure,memory_minus,15638,3805,0.09950121498912905,0.05282522996057819
foursquare,test,1754,201,pure,memory_minus,15223,3806,0.11522039019904093,0.05281135049921177
movielens1m,valid,18140,363,pure,memory_minus,89000,2181,0.20382022471910113,0.16643741403026135
movielens1m,test,24687,494,pure,memory_minus,79524,2181,0.31043458578542327,0.22650160476845485
retail_rocket,valid,11046,1341,pure,memory_minus,105278,22964,0.10492220596895838,0.05839574986936074
retail_rocket,test,10234,1367,pure,memory_minus,99387,22964,0.10297121353899404,0.05952795680195088
KuaiRecLargeStrictPosV2_0.2,valid,1127,94,pure,focus_plus,33853,3669,0.03329099341269607,0.025620059961842464
KuaiRecLargeStrictPosV2_0.2,test,154,80,pure,focus_plus,14614,3669,0.01053784042698782,0.021804306350504225
lastfm0.03,valid,2578,141,pure,focus_plus,55816,3763,0.04618747312598538,0.037470103640712196
lastfm0.03,test,1900,128,pure,focus_plus,49241,3764,0.03858573140269288,0.03400637619553666
beauty,valid,152,26,pure,focus_plus,4252,636,0.03574788334901223,0.040880503144654086
beauty,test,193,34,pure,focus_plus,3468,637,0.055651672433679356,0.05337519623233909
foursquare,valid,571,201,pure,focus_plus,15638,3805,0.03651362066760455,0.05282522996057819
foursquare,test,561,201,pure,focus_plus,15223,3806,0.03685213164290876,0.05281135049921177
movielens1m,valid,14467,363,pure,focus_plus,89000,2181,0.16255056179775282,0.16643741403026135
movielens1m,test,16620,494,pure,focus_plus,79524,2181,0.20899351139278707,0.22650160476845485
retail_rocket,valid,8732,1341,pure,focus_plus,105278,22964,0.08294230513497597,0.05839574986936074
retail_rocket,test,8831,1367,pure,focus_plus,99387,22964,0.08885467918339421,0.05952795680195088
KuaiRecLargeStrictPosV2_0.2,valid,537,94,pure,focus_minus,33853,3669,0.015862700499217203,0.025620059961842464
KuaiRecLargeStrictPosV2_0.2,test,229,80,pure,focus_minus,14614,3669,0.015669905570001367,0.021804306350504225
lastfm0.03,valid,2011,141,pure,focus_minus,55816,3763,0.036029095599828004,0.037470103640712196
lastfm0.03,test,1515,128,pure,focus_minus,49241,3764,0.030767043723726163,0.03400637619553666
beauty,valid,121,26,pure,focus_minus,4252,636,0.02845719661335842,0.040880503144654086
beauty,test,171,34,pure,focus_minus,3468,637,0.04930795847750865,0.05337519623233909
foursquare,valid,1001,201,pure,focus_minus,15638,3805,0.06401074306177261,0.05282522996057819
foursquare,test,1051,201,pure,focus_minus,15223,3806,0.06904026801550285,0.05281135049921177
movielens1m,valid,13340,363,pure,focus_minus,89000,2181,0.1498876404494382,0.16643741403026135
movielens1m,test,16201,494,pure,focus_minus,79524,2181,0.20372466173733716,0.22650160476845485
retail_rocket,valid,12056,1341,pure,focus_minus,105278,22964,0.11451585326468967,0.05839574986936074
retail_rocket,test,11340,1367,pure,focus_minus,99387,22964,0.11409942950285248,0.05952795680195088
KuaiRecLargeStrictPosV2_0.2,valid,2172,94,pure,tempo_plus,33853,3669,0.06415974950521372,0.025620059961842464
KuaiRecLargeStrictPosV2_0.2,test,819,80,pure,tempo_plus,14614,3669,0.056042151361707954,0.021804306350504225
lastfm0.03,valid,2911,141,pure,tempo_plus,55816,3763,0.05215350437150638,0.037470103640712196
lastfm0.03,test,2541,128,pure,tempo_plus,49241,3764,0.05160333868118032,0.03400637619553666
beauty,valid,129,26,pure,tempo_plus,4252,636,0.030338664158043274,0.040880503144654086
beauty,test,156,34,pure,tempo_plus,3468,637,0.04498269896193772,0.05337519623233909
foursquare,valid,695,201,pure,tempo_plus,15638,3805,0.04444302340452743,0.05282522996057819
foursquare,test,571,201,pure,tempo_plus,15223,3806,0.037509032385206593,0.05281135049921177
movielens1m,valid,16132,363,pure,tempo_plus,89000,2181,0.18125842696629213,0.16643741403026135
movielens1m,test,20340,494,pure,tempo_plus,79524,2181,0.2557718424626528,0.22650160476845485
retail_rocket,valid,5751,1341,pure,tempo_plus,105278,22964,0.05462679762153536,0.05839574986936074
retail_rocket,test,5681,1367,pure,tempo_plus,99387,22964,0.05716039321037963,0.05952795680195088
KuaiRecLargeStrictPosV2_0.2,valid,446,94,pure,tempo_minus,33853,3669,0.013174607863409446,0.025620059961842464
KuaiRecLargeStrictPosV2_0.2,test,265,80,pure,tempo_minus,14614,3669,0.018133296838647874,0.021804306350504225
lastfm0.03,valid,1455,141,pure,tempo_minus,55816,3763,0.026067794180880035,0.037470103640712196
lastfm0.03,test,1210,128,pure,tempo_minus,49241,3764,0.024573018419609675,0.03400637619553666
beauty,valid,131,26,pure,tempo_minus,4252,636,0.030809031044214487,0.040880503144654086
beauty,test,124,34,pure,tempo_minus,3468,637,0.03575547866205306,0.05337519623233909
foursquare,valid,983,201,pure,tempo_minus,15638,3805,0.06285970072899348,0.05282522996057819
foursquare,test,881,201,pure,tempo_minus,15223,3806,0.0578729553964396,0.05281135049921177
movielens1m,valid,14728,363,pure,tempo_minus,89000,2181,0.16548314606741574,0.16643741403026135
movielens1m,test,14339,494,pure,tempo_minus,79524,2181,0.18031034656204417,0.22650160476845485
retail_rocket,valid,7754,1341,pure,tempo_minus,105278,22964,0.07365261498128764,0.05839574986936074
