axis_label,expectation_type,expected_pattern,paper_claim_template,plan_intent,setting_group,source_phase
Family subset lattice,target_near_or_better,Competitive or near-anchor valid/test with interpretable family sensitivity.,"A compact subset of feature families can preserve most of the gain, indicating portability beyond large handcrafted banks.",Identify which feature families are necessary and whether 2~3-family subsets stay near full setting.,group_subset,P10
Intra-group compactness,tradeoff_or_stability,Small-to-moderate drop from anchor while retaining strong test behavior.,Few representative signals per family are sufficient for robust feature-aware routing.,Reduce feature count within each family (TOP2/TOP1/common template) to test reusable compact templates.,compactness,P10
Availability ablation,tradeoff_or_stability,"Moderate degradation, not catastrophic collapse.",The framework remains functional even under partial feature availability constraints.,Drop category/timestamp families structurally to test portability under missing common metadata.,availability,P10
Stochastic usage,target_near_or_better,Comparable or slightly better test generalization with stable router diagnostics.,Stochastic feature usage improves robustness without requiring larger feature banks.,Apply feature/family dropout during training to probe robustness to feature availability variation.,stochastic,P10
Availability plus,control_expected_drop,Noticeable degradation; useful as stress-control evidence.,Severe multi-signal removal reveals the boundary of portability.,Stress missing-signal conditions with combined category+timestamp removals.,availability_plus,P10
Compactness plus,tradeoff_or_stability,Moderate drop but non-trivial residual performance.,Even stricter compactness-plus settings preserve a meaningful portion of gains.,Combine compact template with category removal for stricter portability checks.,compactness_plus,P10
Base stage ablation,target_near_or_better,Full 3-stage or select 2-stage settings should lead; single-stage likely weaker.,"Performance depends on temporal-horizon decomposition, not just MoE presence.",Test whether macro/mid/micro decomposition is meaningful versus reduced stage sets.,base_ablation,P11
Prepend dense layer,tradeoff_or_stability,No consistent domination over base-stage variants.,Stage decomposition contributes beyond simply adding dense contextualization depth.,Check if gains are just from extra dense depth before stage routing.,prepend_layer,P11
Stage order permutation,target_near_or_better,Order differences are visible; a few permutations may compete strongly.,"Ordering influences routing behavior, supporting stage-semantic interpretation.",Measure sensitivity to stage order to validate coarse-to-fine rationale.,order_permutation,P11
Routing granularity,tradeoff_or_stability,Session-aware variants should remain competitive and interpretable.,Macro/mid routing behaves naturally as session-regime routing.,Compare session-level and token-level routing for macro/mid stages.,routing_granularity,P11
Depth controls,control_expected_drop,Control settings should not dominate best stage-semantic variants.,Improvements are not explained by generic depth increases alone.,Use layer-only controls to reject purely depth-driven explanations.,extra_alignment,P11
Layout variants,target_near_or_better,Several layout variants should be strong and stable.,Composition details matter: identical stage sets can differ by layout quality.,Change attention placement and local refinement while keeping stage set.,layout_variants,P12
Pair bundle then follow,tradeoff_or_stability,"Some competitive cases, but mixed stability.","Selected horizon interaction can help, but not all bundling is beneficial.",Test selected horizon interactions via 2-stage bundles before follow-up stage.,bundle_pair_then_follow,P12
All-stage bundle,control_expected_drop,Likely weaker than top serial/layout variants; acts as negative control.,Serial horizon separation is often preferable to collapsing all horizons at once.,Use all horizons simultaneously as aggressive alternative to serial decomposition.,bundle_all,P12
Bundle chain,control_expected_drop,Generally lower stability than top layout variants.,More complex bundle chains do not automatically improve routing quality.,Chain multiple bundles to test deeper interaction composition.,bundle_chain,P12
Router-conditioned bundle,tradeoff_or_stability,Can recover part of bundle gap with better adaptivity.,"Adaptive aggregation helps, but composition bias remains a critical factor.",Add router-conditioned aggregation for adaptive bundle composition.,bundle_router,P12
Data condition,tradeoff_or_stability,Moderate drop relative to clean full-data anchor.,"Category signals help, but the framework can remain functional under weakened category cues.",Simulate category-zero data conditions without structural feature removal.,data_condition,P13
Eval perturbation,control_expected_drop,Clear drop under all-zero/all-shuffle controls.,"Inference-time perturbation degrades performance, indicating active feature usage.",Perturb features only at evaluation to test direct feature usage at inference.,eval_perturb,P13
Train corruption,control_expected_drop,Corrupted training should underperform clean alignment.,"Aligned feature guidance, not branch size alone, explains gains.",Break feature-sequence alignment during training to separate parameter count from aligned signal learning.,train_corruption,P13
Semantic mismatch,control_expected_drop,Meaningful drop or instability under semantic mismatch.,Semantic and temporal alignment of features is crucial for routing quality.,Introduce role/stage/position mismatch for stronger sanity checks beyond zero/shuffle.,semantic_mismatch,P13
Eval perturb extra,control_expected_drop,Should behave as negative controls with visible degradation.,Additional perturb controls reinforce that routing depends on aligned feature signals.,Supplement perturbation controls with stronger family-focused stress variants.,eval_perturb_extra,P13
Train shift extra,control_expected_drop,Shift stress should reduce performance versus clean anchor.,Temporal misalignment during training directly weakens downstream ranking quality.,Shift-based corruption for graded alignment stress at train time.,train_shift_extra,P13
