gpu_id,order,launch_group,launch_group_order,combo_id,combo_desc,runtime_bucket,recommended_max_evals,est_50ep_single_eval_min,recommended_total_budget_min
0,1,1,2,P01,plain_c3_three_layer,fast,6,8.8,52.6
0,2,2,3,D14,dense_gated_macro_mid,fast,6,8.7,52.0
0,3,3,4,R30,full_rule_soft,heavy,4,60.4,241.6
0,4,4,2,R32,full_moe_feature_only,heavy,3,65.4,196.2
0,5,5,1,E40,full_moe_both_complex_all,heavy,3,65.4,196.2
0,6,6,3,X61,m22_tempo_memory_only,heavy,4,60.4,241.6
0,7,7,3,C71,dense_plain_param_match_c70,fast,6,10.4,62.4
1,1,1,3,D10,dense_plain_macro_mid,fast,6,8.7,52.0
1,2,2,4,D15,dense_gated_macro_mid_micro,fast,6,9.6,57.5
1,3,3,1,M20,macro_only_moe_both,medium,4,25.4,101.6
1,4,4,1,R31,full_moe_hidden_only,heavy,4,60.4,241.6
1,5,5,2,E41,full_moe_both_complex_macro,heavy,4,60.4,241.6
1,6,6,2,X60,m22_macro_window_10,heavy,4,60.4,241.6
1,7,7,2,C70,m22_expert_scale_3,heavy,4,60.4,241.6
2,1,1,4,D11,dense_plain_macro_mid_micro,fast,6,8.7,52.0
2,2,2,1,D12,dense_film_macro_mid,fast,6,8.7,52.0
2,3,3,3,M22,full_moe_both_anchor,heavy,4,60.4,241.6
2,4,4,4,R34,hybrid_macro_learn_mid_micro_rule,heavy,4,60.4,241.6
2,5,5,4,T50,full_moe_both_mid_token,heavy,3,65.4,196.2
2,6,6,1,T51,full_moe_both_all_token,heavy,3,65.4,196.2
2,7,7,4,C72,dense_film_param_match_c70,fast,6,11.2,67.3
3,1,1,1,P00,plain_c2_one_layer,fast,6,8.0,47.7
3,2,2,2,D13,dense_film_macro_mid_micro,fast,6,9.6,57.5
3,3,3,2,M21,macro_mid_moe_both,medium,4,42.9,171.4
3,4,4,3,R33,full_moe_hidden_gated_bias,heavy,4,60.4,241.6
3,5,5,3,E42,full_moe_both_complex_mid,heavy,4,60.4,241.6
3,6,6,4,X62,m22_len_30,heavy,3,70.4,211.2
3,7,7,1,X63,m22_topk_2,heavy,4,60.4,241.6
