run_name,run_phase,best_valid_mrr20,topk_scope_mode,moe_top_k,expert_scale,group_top_k,macro_n_eff,macro_n_eff_scope_norm,macro_top1_max_frac,macro_top1_over_scope_uniform,macro_group_n_eff,macro_group_n_eff_expscale_norm,macro_group_top1_max_frac,macro_group_top1_over_uniform
lastfm0.03_FeaturedMoE_N3_lfmfast_c2_20260318_084008_203193_pid438110,LFMFAST_C2,0.401,global_flat,6.0,3.0,0.0,10.619249777100373,1.7698749628500623,0.12630119842861642,0.7578071905716985,3.901875048112893,1.3006250160376311,0.3941491654096703,1.182447496229011
lastfm0.03_FeaturedMoE_N3_lfmfast_c2_20260318_134320_272910_pid3926,LFMFAST_C2,0.4007,global_flat,6.0,3.0,0.0,10.431630432679054,1.7386050721131756,0.1544209666992657,0.9265258001955942,3.909995973993513,1.303331991331171,0.4325262311657743,1.297578693497323
lastfm0.03_FeaturedMoE_N3_lfmfast_c2_20260318_150122_406365_pid23058,LFMFAST_C2,0.4007,global_flat,6.0,3.0,0.0,,,,,,,,
lastfm0.03_FeaturedMoE_N3_lfmfast_c2_20260318_131354_671394_pid481788,LFMFAST_C2,0.3841,global_flat,6.0,3.0,0.0,,,,,,,,
lastfm0.03_FeaturedMoE_N3_lfmfast_c3_20260318_134320_302515_pid3927,LFMFAST_C3,0.4021,global_flat,3.0,3.0,0.0,10.617274016609963,3.5390913388699876,0.12889427141175885,0.38668281423527656,3.931113034036482,1.310371011345494,0.43118152132473603,1.293544563974208
lastfm0.03_FeaturedMoE_N3_lfmfast_c3_20260318_150122_451224_pid23059,LFMFAST_C3,0.4021,global_flat,3.0,3.0,0.0,,,,,,,,
lastfm0.03_FeaturedMoE_N3_lfmfast_c3_20260318_084008_234759_pid438111,LFMFAST_C3,0.4002,global_flat,3.0,3.0,0.0,9.978937557499563,3.326312519166521,0.15353001873062705,0.46059005619188115,3.909503510864654,1.3031678369548847,0.4663200948134396,1.3989602844403188
lastfm0.03_FeaturedMoE_N3_lfmfast_c3_20260318_131354_691261_pid481789,LFMFAST_C3,0.3837,global_flat,3.0,3.0,0.0,,,,,,,,
lastfm0.03_FeaturedMoE_N3_lfmfast_c4_20260318_100601_827082_pid449463,LFMFAST_C4,0.4025,group_dense,0.0,3.0,0.0,11.491235964906874,3.8304119883022913,0.11884624310033318,0.3565387293009995,3.879122844437662,1.2930409481458873,0.3300143794858194,0.9900431384574582
lastfm0.03_FeaturedMoE_N3_lfmfast_c4_20260318_141704_326199_pid11528,LFMFAST_C4,0.3859,group_dense,0.0,3.0,0.0,,,,,,,,
lastfm0.03_FeaturedMoE_N3_lfmfast_c4_20260318_162100_217083_pid51126,LFMFAST_C4,0.3859,group_dense,0.0,3.0,0.0,,,,,,,,
lastfm0.03_FeaturedMoE_N3_lfmfast_c8_20260318_124632_665337_pid474006,LFMFAST_C8,0.3915,group_top1_pergroup,1.0,3.0,0.0,,,,,,,,
lastfm0.03_FeaturedMoE_N3_lfmfast_c9_20260318_121109_404888_pid470758,LFMFAST_C9,0.3659,group_top2_pergroup,2.0,3.0,0.0,,,,,,,,
