dataset,setting_key,setting_label,variant_label,test_seen_mrr20,test_ndcg20,base_rank,seed_id
KuaiRecLargeStrictPosV2_0.2,no_aux,No auxiliary loss,No auxiliary loss,0.3335,0.3435,1,1
KuaiRecLargeStrictPosV2_0.2,no_aux,No auxiliary loss,No auxiliary loss,0.3328,0.3428,2,1
KuaiRecLargeStrictPosV2_0.2,knn_only,KNN consistency only,KNN consistency only,0.3349,0.3449,1,1
KuaiRecLargeStrictPosV2_0.2,knn_only,KNN consistency only,KNN consistency only,0.3338,0.3438,2,1
KuaiRecLargeStrictPosV2_0.2,zloss_only,Z-loss only,Z-loss only,0.3378,0.3478,1,1
KuaiRecLargeStrictPosV2_0.2,zloss_only,Z-loss only,Z-loss only,0.3374,0.3474,2,1
KuaiRecLargeStrictPosV2_0.2,balance_only,Balance loss only,Balance loss only,0.3349,0.3449,1,1
KuaiRecLargeStrictPosV2_0.2,balance_only,Balance loss only,Balance loss only,0.335,0.345,2,1
KuaiRecLargeStrictPosV2_0.2,cons_zloss,Consistency + Z-loss,Consistency + Z-loss,0.3384,0.3484,1,1
KuaiRecLargeStrictPosV2_0.2,cons_zloss,Consistency + Z-loss,Consistency + Z-loss,0.3364,0.3464,2,1
KuaiRecLargeStrictPosV2_0.2,full_obj,Full objective,Full objective,0.3404,0.3504,1,1
KuaiRecLargeStrictPosV2_0.2,full_obj,Full objective,Full objective,0.3405,0.3505,2,1
beauty,no_aux,No auxiliary loss,No auxiliary loss,0.076,0.094,1,1
beauty,no_aux,No auxiliary loss,No auxiliary loss,0.0766,0.0946,2,1
beauty,knn_only,KNN consistency only,KNN consistency only,0.0754,0.0934,1,1
beauty,knn_only,KNN consistency only,KNN consistency only,0.0778,0.0958,2,1
beauty,zloss_only,Z-loss only,Z-loss only,0.0791,0.0971,1,1
beauty,zloss_only,Z-loss only,Z-loss only,0.0777,0.0957,2,1
beauty,balance_only,Balance loss only,Balance loss only,0.0771,0.0951,1,1
beauty,balance_only,Balance loss only,Balance loss only,0.074,0.092,2,1
beauty,cons_zloss,Consistency + Z-loss,Consistency + Z-loss,0.0798,0.0978,1,1
beauty,cons_zloss,Consistency + Z-loss,Consistency + Z-loss,0.0794,0.0974,2,1
beauty,full_obj,Full objective,Full objective,0.0835,0.1015,1,1
beauty,full_obj,Full objective,Full objective,0.0805,0.0985,2,1
foursquare,no_aux,No auxiliary loss,No auxiliary loss,0.1662,0.2162,1,1
foursquare,no_aux,No auxiliary loss,No auxiliary loss,0.1655,0.2155,2,1
foursquare,knn_only,KNN consistency only,KNN consistency only,0.1699,0.2199,1,1
foursquare,knn_only,KNN consistency only,KNN consistency only,0.1683,0.2183,2,1
foursquare,zloss_only,Z-loss only,Z-loss only,0.1695,0.2195,1,1
foursquare,zloss_only,Z-loss only,Z-loss only,0.1695,0.2195,2,1
foursquare,balance_only,Balance loss only,Balance loss only,0.1681,0.2181,1,1
foursquare,balance_only,Balance loss only,Balance loss only,0.168,0.218,2,1
foursquare,cons_zloss,Consistency + Z-loss,Consistency + Z-loss,0.1703,0.2203,1,1
foursquare,cons_zloss,Consistency + Z-loss,Consistency + Z-loss,0.1697,0.2197,2,1
foursquare,full_obj,Full objective,Full objective,0.1726,0.2226,1,1
foursquare,full_obj,Full objective,Full objective,0.1705,0.2205,2,1
