dataset,model,base_rank,base_tag,split,metric,value,result_json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,hit@5,0.1205,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,hit@10,0.1647,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,hit@20,0.2169,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,ndcg@5,0.0755,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,ndcg@10,0.0899,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,ndcg@20,0.1031,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,mrr@5,0.0605,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,mrr@10,0.0665,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,valid,mrr@20,0.0701,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,test,hit@5,0.1203,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,test,hit@10,0.1605,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,test,hit@20,0.2063,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,test,ndcg@5,0.0838,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,test,ndcg@10,0.0967,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,test,ndcg@20,0.1085,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,test,mrr@5,0.0716,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
beauty,featured_moe_n3,1,beauty_top01_rfmoe,test,mrr@10,0.0768,/workspace/FeaturedMoE/experiments/run/artifacts/results/results_final_experiment_fmoe/normal/stage1_broad_search/S1/beauty/FMoEN3/beauty_FeaturedMoE_N3_s1_beauty_featured_moe_n3_r04_20260418_035848_043295_pid31799.json
