dataset,setting_key,setting_label,data_fraction,route_mrr20,baseline_mrr20
KuaiRecLargeStrictPosV2_0.2,full_finetune,Full fine-tune,0.1,0.335,0.3314
KuaiRecLargeStrictPosV2_0.2,full_finetune,Full fine-tune,0.2,0.3389,0.3237
KuaiRecLargeStrictPosV2_0.2,full_finetune,Full fine-tune,0.5,0.3454,0.332
KuaiRecLargeStrictPosV2_0.2,full_finetune,Full fine-tune,1.0,0.3575,0.342
KuaiRecLargeStrictPosV2_0.2,finetuned_router,Finetuned router,0.1,0.3327,0.3203
KuaiRecLargeStrictPosV2_0.2,finetuned_router,Finetuned router,0.2,0.3346,0.3207
KuaiRecLargeStrictPosV2_0.2,finetuned_router,Finetuned router,0.5,0.3372,0.3363
KuaiRecLargeStrictPosV2_0.2,finetuned_router,Finetuned router,1.0,0.3544,0.3453
KuaiRecLargeStrictPosV2_0.2,anchor_transfer,Anchor transfer,0.1,0.3291,0.3259
KuaiRecLargeStrictPosV2_0.2,anchor_transfer,Anchor transfer,0.2,0.334,0.3245
KuaiRecLargeStrictPosV2_0.2,anchor_transfer,Anchor transfer,0.5,0.3445,0.3366
KuaiRecLargeStrictPosV2_0.2,anchor_transfer,Anchor transfer,1.0,0.3493,0.3441
KuaiRecLargeStrictPosV2_0.2,frozen_router,Frozen router,0.1,0.3306,0.3199
KuaiRecLargeStrictPosV2_0.2,frozen_router,Frozen router,0.2,0.3313,0.326
KuaiRecLargeStrictPosV2_0.2,frozen_router,Frozen router,0.5,0.335,0.3332
KuaiRecLargeStrictPosV2_0.2,frozen_router,Frozen router,1.0,0.3534,0.3459
KuaiRecLargeStrictPosV2_0.2,no_transfer,No transfer (scratch),0.1,0.3273,0.3277
KuaiRecLargeStrictPosV2_0.2,no_transfer,No transfer (scratch),0.2,0.3352,0.3308
KuaiRecLargeStrictPosV2_0.2,no_transfer,No transfer (scratch),0.5,0.3372,0.3321
KuaiRecLargeStrictPosV2_0.2,no_transfer,No transfer (scratch),1.0,0.3491,0.3452
beauty,full_finetune,Full fine-tune,0.1,0.0817,0.0699
beauty,full_finetune,Full fine-tune,0.2,0.0841,0.0684
beauty,full_finetune,Full fine-tune,0.5,0.091,0.0766
beauty,full_finetune,Full fine-tune,1.0,0.1032,0.0839
beauty,finetuned_router,Finetuned router,0.1,0.0812,0.0686
beauty,finetuned_router,Finetuned router,0.2,0.076,0.0685
beauty,finetuned_router,Finetuned router,0.5,0.083,0.0773
beauty,finetuned_router,Finetuned router,1.0,0.0956,0.0843
beauty,anchor_transfer,Anchor transfer,0.1,0.0739,0.0744
beauty,anchor_transfer,Anchor transfer,0.2,0.0812,0.0713
beauty,anchor_transfer,Anchor transfer,0.5,0.0821,0.0764
beauty,anchor_transfer,Anchor transfer,1.0,0.0938,0.0829
beauty,frozen_router,Frozen router,0.1,0.0712,0.063
beauty,frozen_router,Frozen router,0.2,0.0752,0.0719
beauty,frozen_router,Frozen router,0.5,0.0786,0.0807
beauty,frozen_router,Frozen router,1.0,0.0863,0.0816
beauty,no_transfer,No transfer (scratch),0.1,0.0717,0.0711
beauty,no_transfer,No transfer (scratch),0.2,0.0781,0.0686
beauty,no_transfer,No transfer (scratch),0.5,0.0822,0.0759
beauty,no_transfer,No transfer (scratch),1.0,0.0885,0.0887
foursquare,full_finetune,Full fine-tune,0.1,0.172,0.1543
foursquare,full_finetune,Full fine-tune,0.2,0.1764,0.1651
foursquare,full_finetune,Full fine-tune,0.5,0.1761,0.1682
foursquare,full_finetune,Full fine-tune,1.0,0.1895,0.1778
foursquare,finetuned_router,Finetuned router,0.1,0.1653,0.157
foursquare,finetuned_router,Finetuned router,0.2,0.1689,0.1645
foursquare,finetuned_router,Finetuned router,0.5,0.1766,0.1659
foursquare,finetuned_router,Finetuned router,1.0,0.1873,0.1685
foursquare,anchor_transfer,Anchor transfer,0.1,0.1684,0.1538
foursquare,anchor_transfer,Anchor transfer,0.2,0.1659,0.1576
foursquare,anchor_transfer,Anchor transfer,0.5,0.1691,0.1705
foursquare,anchor_transfer,Anchor transfer,1.0,0.1816,0.178
foursquare,frozen_router,Frozen router,0.1,0.1629,0.1604
foursquare,frozen_router,Frozen router,0.2,0.1652,0.1572
foursquare,frozen_router,Frozen router,0.5,0.174,0.1655
foursquare,frozen_router,Frozen router,1.0,0.1763,0.1757
foursquare,no_transfer,No transfer (scratch),0.1,0.1665,0.1616
foursquare,no_transfer,No transfer (scratch),0.2,0.163,0.16
foursquare,no_transfer,No transfer (scratch),0.5,0.169,0.1732
foursquare,no_transfer,No transfer (scratch),1.0,0.1811,0.1783
