dataset,model,group,test_seen_mrr20,route_concentration
KuaiRecLargeStrictPosV2_0.2,RouteRec,original,0.3374,0.0
KuaiRecLargeStrictPosV2_0.2,RouteRec,memory_plus,0.328814,0.30395649999999996
KuaiRecLargeStrictPosV2_0.2,RouteRec,memory_minus,0.362812,0.16583900000000001
KuaiRecLargeStrictPosV2_0.2,RouteRec,focus_plus,0.326912,0.31853750000000003
KuaiRecLargeStrictPosV2_0.2,RouteRec,focus_minus,0.363861,0.176597
KuaiRecLargeStrictPosV2_0.2,RouteRec,tempo_plus,0.336773,0.3188735
KuaiRecLargeStrictPosV2_0.2,RouteRec,tempo_minus,0.358171,0.175749
KuaiRecLargeStrictPosV2_0.2,RouteRec,exploration_plus,0.345215,0.368956
KuaiRecLargeStrictPosV2_0.2,RouteRec,exposure_minus,0.352749,0.21120250000000002
foursquare,RouteRec,original,0.164637,0.0
foursquare,RouteRec,memory_plus,0.162884,0.32574000000000003
foursquare,RouteRec,memory_minus,0.175641,0.17998999999999998
foursquare,RouteRec,focus_plus,0.164354,0.3346715
foursquare,RouteRec,focus_minus,0.174758,0.18609900000000001
foursquare,RouteRec,tempo_plus,0.162291,0.329714
foursquare,RouteRec,tempo_minus,0.175988,0.182817
foursquare,RouteRec,exploration_plus,0.163525,0.323492
foursquare,RouteRec,exposure_minus,0.17526,0.178515
lastfm0.03,RouteRec,original,0.303012,0.0
lastfm0.03,RouteRec,memory_plus,0.301403,0.33613950000000004
lastfm0.03,RouteRec,memory_minus,0.3223,0.18702
lastfm0.03,RouteRec,focus_plus,0.300219,0.3265445
lastfm0.03,RouteRec,focus_minus,0.323008,0.180523
lastfm0.03,RouteRec,tempo_plus,0.299981,0.3307465
lastfm0.03,RouteRec,tempo_minus,0.323149,0.18338100000000002
lastfm0.03,RouteRec,exploration_plus,0.300358,0.320355
lastfm0.03,RouteRec,exposure_minus,0.322925,0.176397
retail_rocket,RouteRec,original,0.370122,0.0
retail_rocket,RouteRec,memory_plus,0.360885,0.310615
retail_rocket,RouteRec,memory_minus,0.397896,0.1703375
retail_rocket,RouteRec,focus_plus,0.356107,0.2882305
retail_rocket,RouteRec,focus_minus,0.4005,0.1562915
retail_rocket,RouteRec,tempo_plus,0.368229,0.32242950000000004
retail_rocket,RouteRec,tempo_minus,0.393637,0.177869
retail_rocket,RouteRec,exploration_plus,0.381861,0.3881605
retail_rocket,RouteRec,exposure_minus,0.384781,0.2254495
