dataset,variant_label,variant_group,variant_order,test_ndcg20,test_hit10,base_rank,seed_id
KuaiRecLargeStrictPosV2_0.2,Family Prior Intact,cue_org,1,0.35,0.363,1,1
KuaiRecLargeStrictPosV2_0.2,Family Prior Intact,cue_org,1,0.3467,0.3597,2,1
KuaiRecLargeStrictPosV2_0.2,Fewer Semantic Groups,cue_org,2,0.3473,0.3603,1,1
KuaiRecLargeStrictPosV2_0.2,Fewer Semantic Groups,cue_org,2,0.347,0.36,2,1
KuaiRecLargeStrictPosV2_0.2,Random Group Assignment,cue_org,5,0.3405,0.3535,1,1
KuaiRecLargeStrictPosV2_0.2,Random Group Assignment,cue_org,5,0.3385,0.3515,2,1
KuaiRecLargeStrictPosV2_0.2,Flat Scalar Bag,cue_org,4,0.3462,0.3592,1,1
KuaiRecLargeStrictPosV2_0.2,Flat Scalar Bag,cue_org,4,0.3425,0.3555,2,1
KuaiRecLargeStrictPosV2_0.2,Single-view (macro only),temporal,2,0.3441,0.3571,1,1
KuaiRecLargeStrictPosV2_0.2,Single-view (macro only),temporal,2,0.3441,0.3571,2,1
KuaiRecLargeStrictPosV2_0.2,Local-first ordering,temporal,4,0.3431,0.3561,1,1
KuaiRecLargeStrictPosV2_0.2,Local-first ordering,temporal,4,0.3411,0.3541,2,1
KuaiRecLargeStrictPosV2_0.2,Global-late ordering,temporal,5,0.3475,0.3605,1,1
KuaiRecLargeStrictPosV2_0.2,Global-late ordering,temporal,5,0.3412,0.3542,2,1
KuaiRecLargeStrictPosV2_0.2,Two-view (macro+mid),temporal,3,0.3446,0.3576,1,1
KuaiRecLargeStrictPosV2_0.2,Two-view (macro+mid),temporal,3,0.3449,0.3579,2,1
KuaiRecLargeStrictPosV2_0.2,Duplicated mid stage,temporal,6,0.346,0.359,1,1
KuaiRecLargeStrictPosV2_0.2,Duplicated mid stage,temporal,6,0.3466,0.3596,2,1
KuaiRecLargeStrictPosV2_0.2,Final 3-stage,temporal,1,0.3492,0.3622,1,1
KuaiRecLargeStrictPosV2_0.2,Final 3-stage,temporal,1,0.3462,0.3592,2,1
beauty,Family Prior Intact,cue_org,1,0.1019,0.1549,1,1
beauty,Family Prior Intact,cue_org,1,0.0965,0.1495,2,1
beauty,Fewer Semantic Groups,cue_org,2,0.0961,0.1491,1,1
beauty,Fewer Semantic Groups,cue_org,2,0.0912,0.1442,2,1
beauty,Random Group Assignment,cue_org,5,0.0899,0.1429,1,1
beauty,Random Group Assignment,cue_org,5,0.0892,0.1422,2,1
beauty,Flat Scalar Bag,cue_org,4,0.0907,0.1437,1,1
beauty,Flat Scalar Bag,cue_org,4,0.0918,0.1448,2,1
beauty,Single-view (macro only),temporal,2,0.0938,0.1468,1,1
beauty,Single-view (macro only),temporal,2,0.0924,0.1454,2,1
beauty,Local-first ordering,temporal,4,0.0928,0.1458,1,1
beauty,Local-first ordering,temporal,4,0.0957,0.1487,2,1
beauty,Global-late ordering,temporal,5,0.097,0.15,1,1
beauty,Global-late ordering,temporal,5,0.0929,0.1459,2,1
beauty,Two-view (macro+mid),temporal,3,0.0996,0.1526,1,1
beauty,Two-view (macro+mid),temporal,3,0.0936,0.1466,2,1
beauty,Duplicated mid stage,temporal,6,0.0984,0.1514,1,1
beauty,Duplicated mid stage,temporal,6,0.0921,0.1451,2,1
beauty,Final 3-stage,temporal,1,0.0983,0.1513,1,1
beauty,Final 3-stage,temporal,1,0.0994,0.1524,2,1
foursquare,Family Prior Intact,cue_org,1,0.2235,0.3255,1,1
foursquare,Family Prior Intact,cue_org,1,0.2203,0.3223,2,1
foursquare,Fewer Semantic Groups,cue_org,2,0.2188,0.3208,1,1
foursquare,Fewer Semantic Groups,cue_org,2,0.2164,0.3184,2,1
foursquare,Random Group Assignment,cue_org,5,0.211,0.313,1,1
foursquare,Random Group Assignment,cue_org,5,0.2106,0.3126,2,1
foursquare,Flat Scalar Bag,cue_org,4,0.2151,0.3171,1,1
foursquare,Flat Scalar Bag,cue_org,4,0.2161,0.3181,2,1
foursquare,Single-view (macro only),temporal,2,0.2187,0.3207,1,1
foursquare,Single-view (macro only),temporal,2,0.2125,0.3145,2,1
foursquare,Local-first ordering,temporal,4,0.2176,0.3196,1,1
foursquare,Local-first ordering,temporal,4,0.2142,0.3162,2,1
foursquare,Global-late ordering,temporal,5,0.2186,0.3206,1,1
foursquare,Global-late ordering,temporal,5,0.2192,0.3212,2,1
foursquare,Two-view (macro+mid),temporal,3,0.2231,0.3251,1,1
foursquare,Two-view (macro+mid),temporal,3,0.2209,0.3229,2,1
foursquare,Duplicated mid stage,temporal,6,0.2193,0.3213,1,1
foursquare,Duplicated mid stage,temporal,6,0.2184,0.3204,2,1
foursquare,Final 3-stage,temporal,1,0.2247,0.3267,1,1
foursquare,Final 3-stage,temporal,1,0.224,0.326,2,1
KuaiRecLargeStrictPosV2_0.2,Groups Shuffled,cue_org,3,0.33369000000000004,0.34289499999999995,1,1
KuaiRecLargeStrictPosV2_0.2,Groups Shuffled,cue_org,3,0.33173,0.34095499999999995,2,1
beauty,Groups Shuffled,cue_org,3,0.08810199999999999,0.138613,1,1
beauty,Groups Shuffled,cue_org,3,0.087416,0.137934,2,1
foursquare,Groups Shuffled,cue_org,3,0.20678,0.30361,1,1
foursquare,Groups Shuffled,cue_org,3,0.20638800000000002,0.303222,2,1
