dataset,question,setting_key,setting_label,variant_label,stage_key,group_entropy_mean,group_n_eff,group_top1_max_frac
KuaiRecLargeStrictPosV2_0.2,diagnostics,dense_full,Dense full mixture,Dense full mixture,macro,1.441,2.5,0.35
KuaiRecLargeStrictPosV2_0.2,diagnostics,dense_full,Dense full mixture,Dense full mixture,mid,1.438,2.5,0.35
KuaiRecLargeStrictPosV2_0.2,diagnostics,dense_full,Dense full mixture,Dense full mixture,micro,1.211,2.5,0.35
KuaiRecLargeStrictPosV2_0.2,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,macro,0.965,1.64,0.524
KuaiRecLargeStrictPosV2_0.2,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,mid,1.013,1.88,0.495
KuaiRecLargeStrictPosV2_0.2,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,micro,0.634,1.85,0.526
KuaiRecLargeStrictPosV2_0.2,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,macro,1.113,2.13,0.426
KuaiRecLargeStrictPosV2_0.2,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,mid,1.212,2.13,0.426
KuaiRecLargeStrictPosV2_0.2,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,micro,0.993,2.15,0.416
beauty,diagnostics,dense_full,Dense full mixture,Dense full mixture,macro,1.433,2.5,0.35
beauty,diagnostics,dense_full,Dense full mixture,Dense full mixture,mid,1.451,2.5,0.35
beauty,diagnostics,dense_full,Dense full mixture,Dense full mixture,micro,1.239,2.5,0.35
beauty,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,macro,0.958,1.72,0.539
beauty,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,mid,1.021,1.88,0.558
beauty,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,micro,0.688,1.72,0.502
beauty,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,macro,1.059,2.09,0.447
beauty,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,mid,1.214,2.18,0.44
beauty,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,micro,0.973,2.07,0.494
foursquare,diagnostics,dense_full,Dense full mixture,Dense full mixture,macro,1.431,2.5,0.35
foursquare,diagnostics,dense_full,Dense full mixture,Dense full mixture,mid,1.457,2.5,0.35
foursquare,diagnostics,dense_full,Dense full mixture,Dense full mixture,micro,1.146,2.5,0.35
foursquare,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,macro,0.924,1.78,0.534
foursquare,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,mid,1.024,1.79,0.503
foursquare,diagnostics,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,micro,0.624,1.76,0.537
foursquare,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,macro,1.111,1.98,0.443
foursquare,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,mid,1.219,2.01,0.443
foursquare,diagnostics,hier_3g_2e,Main sparse setting,Top-3gr Top-2ex — main,micro,0.903,1.99,0.447
