dataset,setting_key,setting_label,variant_label,test_seen_mrr20,test_ndcg20,base_rank,seed_id,active_experts
KuaiRecLargeStrictPosV2_0.2,dense_full,Dense full mixture,Dense full mixture,0.3363,0.3463,1,1,12
KuaiRecLargeStrictPosV2_0.2,dense_full,Dense full mixture,Dense full mixture,0.3363,0.3463,2,1,12
KuaiRecLargeStrictPosV2_0.2,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,0.335,0.345,1,1,6
KuaiRecLargeStrictPosV2_0.2,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,0.3348,0.3448,2,1,6
KuaiRecLargeStrictPosV2_0.2,hier_2g_1e,Top-2gr Top-1ex (2 act.),Top-2gr Top-1ex (2 act.),0.3306,0.3406,1,1,2
KuaiRecLargeStrictPosV2_0.2,hier_2g_1e,Top-2gr Top-1ex (2 act.),Top-2gr Top-1ex (2 act.),0.3316,0.3416,2,1,2
KuaiRecLargeStrictPosV2_0.2,hier_2g_2e,Top-2gr Top-2ex (4 act.),Top-2gr Top-2ex (4 act.),0.3347,0.3447,1,1,4
KuaiRecLargeStrictPosV2_0.2,hier_2g_2e,Top-2gr Top-2ex (4 act.),Top-2gr Top-2ex (4 act.),0.3342,0.3442,2,1,4
KuaiRecLargeStrictPosV2_0.2,hier_3g_2e,Top-3gr Top-2ex (6 act.),Top-3gr Top-2ex — main,0.3388,0.3488,1,1,6
KuaiRecLargeStrictPosV2_0.2,hier_3g_2e,Top-3gr Top-2ex (6 act.),Top-3gr Top-2ex — main,0.3394,0.3494,2,1,6
KuaiRecLargeStrictPosV2_0.2,hier_4g_2e,Top-4gr Top-2ex (8 act.),Top-4gr Top-2ex (8 act.),0.3389,0.3489,1,1,8
KuaiRecLargeStrictPosV2_0.2,hier_4g_2e,Top-4gr Top-2ex (8 act.),Top-4gr Top-2ex (8 act.),0.3372,0.3472,2,1,8
KuaiRecLargeStrictPosV2_0.2,hier_3g_3e,Top-3gr Top-3ex (9 act.),Top-3gr Top-3ex (9 act.),0.3383,0.3483,1,1,9
KuaiRecLargeStrictPosV2_0.2,hier_3g_3e,Top-3gr Top-3ex (9 act.),Top-3gr Top-3ex (9 act.),0.3379,0.3479,2,1,9
beauty,dense_full,Dense full mixture,Dense full mixture,0.0761,0.0941,1,1,12
beauty,dense_full,Dense full mixture,Dense full mixture,0.078,0.096,2,1,12
beauty,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,0.0771,0.0951,1,1,6
beauty,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,0.0795,0.0975,2,1,6
beauty,hier_2g_1e,Top-2gr Top-1ex (2 act.),Top-2gr Top-1ex (2 act.),0.0738,0.0918,1,1,2
beauty,hier_2g_1e,Top-2gr Top-1ex (2 act.),Top-2gr Top-1ex (2 act.),0.0743,0.0923,2,1,2
beauty,hier_2g_2e,Top-2gr Top-2ex (4 act.),Top-2gr Top-2ex (4 act.),0.077,0.095,1,1,4
beauty,hier_2g_2e,Top-2gr Top-2ex (4 act.),Top-2gr Top-2ex (4 act.),0.0758,0.0938,2,1,4
beauty,hier_3g_2e,Top-3gr Top-2ex (6 act.),Top-3gr Top-2ex — main,0.0821,0.1001,1,1,6
beauty,hier_3g_2e,Top-3gr Top-2ex (6 act.),Top-3gr Top-2ex — main,0.0818,0.0998,2,1,6
beauty,hier_4g_2e,Top-4gr Top-2ex (8 act.),Top-4gr Top-2ex (8 act.),0.0798,0.0978,1,1,8
beauty,hier_4g_2e,Top-4gr Top-2ex (8 act.),Top-4gr Top-2ex (8 act.),0.0781,0.0961,2,1,8
beauty,hier_3g_3e,Top-3gr Top-3ex (9 act.),Top-3gr Top-3ex (9 act.),0.0814,0.0994,1,1,9
beauty,hier_3g_3e,Top-3gr Top-3ex (9 act.),Top-3gr Top-3ex (9 act.),0.0786,0.0966,2,1,9
foursquare,dense_full,Dense full mixture,Dense full mixture,0.1696,0.2196,1,1,12
foursquare,dense_full,Dense full mixture,Dense full mixture,0.1712,0.2212,2,1,12
foursquare,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,0.167,0.217,1,1,6
foursquare,flat_sparse_6,Flat sparse top-6,Flat sparse top-6,0.1674,0.2174,2,1,6
foursquare,hier_2g_1e,Top-2gr Top-1ex (2 act.),Top-2gr Top-1ex (2 act.),0.1651,0.2151,1,1,2
foursquare,hier_2g_1e,Top-2gr Top-1ex (2 act.),Top-2gr Top-1ex (2 act.),0.1645,0.2145,2,1,2
foursquare,hier_2g_2e,Top-2gr Top-2ex (4 act.),Top-2gr Top-2ex (4 act.),0.1664,0.2164,1,1,4
foursquare,hier_2g_2e,Top-2gr Top-2ex (4 act.),Top-2gr Top-2ex (4 act.),0.1681,0.2181,2,1,4
foursquare,hier_3g_2e,Top-3gr Top-2ex (6 act.),Top-3gr Top-2ex — main,0.1709,0.2209,1,1,6
foursquare,hier_3g_2e,Top-3gr Top-2ex (6 act.),Top-3gr Top-2ex — main,0.1725,0.2225,2,1,6
foursquare,hier_4g_2e,Top-4gr Top-2ex (8 act.),Top-4gr Top-2ex (8 act.),0.1691,0.2191,1,1,8
foursquare,hier_4g_2e,Top-4gr Top-2ex (8 act.),Top-4gr Top-2ex (8 act.),0.1715,0.2215,2,1,8
foursquare,hier_3g_3e,Top-3gr Top-3ex (9 act.),Top-3gr Top-3ex (9 act.),0.1702,0.2202,1,1,9
foursquare,hier_3g_3e,Top-3gr Top-3ex (9 act.),Top-3gr Top-3ex (9 act.),0.1707,0.2207,2,1,9
