dataset,shot_ratio,variant,ndcg20,effective_experts,route_entropy
Beauty,5%,shared_ffn,0.066,1.0,0.0
Beauty,5%,dense_route_rec,0.071,7.2,1.62
Beauty,5%,sequence_only,0.069,5.8,1.48
Beauty,5%,group_top1,0.072,4.0,0.96
Beauty,10%,shared_ffn,0.075,1.0,0.0
Beauty,10%,dense_route_rec,0.082,7.0,1.54
Beauty,10%,sequence_only,0.08,5.7,1.43
Beauty,10%,group_top1,0.083,4.0,0.98
Beauty,20%,shared_ffn,0.084,1.0,0.0
Beauty,20%,dense_route_rec,0.093,6.9,1.49
Beauty,20%,sequence_only,0.09,5.7,1.39
Beauty,20%,group_top1,0.094,4.0,1.0
Beauty,50%,shared_ffn,0.098,1.0,0.0
Beauty,50%,dense_route_rec,0.106,6.8,1.45
Beauty,50%,sequence_only,0.102,5.6,1.35
Beauty,50%,group_top1,0.107,4.0,1.02
ML-1M,5%,shared_ffn,0.058,1.0,0.0
ML-1M,5%,dense_route_rec,0.055,8.1,1.71
ML-1M,5%,sequence_only,0.057,6.4,1.55
ML-1M,5%,group_top1,0.059,4.0,0.94
ML-1M,10%,shared_ffn,0.066,1.0,0.0
ML-1M,10%,dense_route_rec,0.064,7.8,1.64
ML-1M,10%,sequence_only,0.066,6.3,1.5
ML-1M,10%,group_top1,0.067,4.0,0.96
ML-1M,20%,shared_ffn,0.077,1.0,0.0
ML-1M,20%,dense_route_rec,0.075,7.5,1.57
ML-1M,20%,sequence_only,0.077,6.2,1.45
ML-1M,20%,group_top1,0.079,4.0,0.98
ML-1M,50%,shared_ffn,0.091,1.0,0.0
ML-1M,50%,dense_route_rec,0.09,7.2,1.51
ML-1M,50%,sequence_only,0.091,6.0,1.4
ML-1M,50%,group_top1,0.093,4.0,1.0
