dataset,stage_family,usage
Beauty,macro_tempo,0.19
Beauty,macro_focus,0.24
Beauty,macro_memory,0.34
Beauty,macro_exposure,0.23
Beauty,mid_tempo,0.17
Beauty,mid_focus,0.29
Beauty,mid_memory,0.31
Beauty,mid_exposure,0.23
Beauty,micro_tempo,0.28
Beauty,micro_focus,0.18
Beauty,micro_memory,0.33
Beauty,micro_exposure,0.21
KuaiRec,macro_tempo,0.23
KuaiRec,macro_focus,0.19
KuaiRec,macro_memory,0.31
KuaiRec,macro_exposure,0.27
KuaiRec,mid_tempo,0.2
KuaiRec,mid_focus,0.27
KuaiRec,mid_memory,0.24
KuaiRec,mid_exposure,0.29
KuaiRec,micro_tempo,0.31
KuaiRec,micro_focus,0.22
KuaiRec,micro_memory,0.18
KuaiRec,micro_exposure,0.29
Retail Rocket,macro_tempo,0.14
Retail Rocket,macro_focus,0.16
Retail Rocket,macro_memory,0.22
Retail Rocket,macro_exposure,0.48
Retail Rocket,mid_tempo,0.17
Retail Rocket,mid_focus,0.19
Retail Rocket,mid_memory,0.24
Retail Rocket,mid_exposure,0.4
Retail Rocket,micro_tempo,0.26
Retail Rocket,micro_focus,0.15
Retail Rocket,micro_memory,0.21
Retail Rocket,micro_exposure,0.38
