dataset,shot_ratio,variant,ndcg20,hr10
Beauty,5%,shared_ffn,0.066,0.118
Beauty,5%,dense_route_rec,0.071,0.125
Beauty,5%,sequence_only,0.069,0.122
Beauty,5%,group_top1,0.072,0.127
Beauty,10%,shared_ffn,0.075,0.131
Beauty,10%,dense_route_rec,0.082,0.139
Beauty,10%,sequence_only,0.08,0.136
Beauty,10%,group_top1,0.083,0.141
Beauty,20%,shared_ffn,0.084,0.146
Beauty,20%,dense_route_rec,0.093,0.155
Beauty,20%,sequence_only,0.09,0.151
Beauty,20%,group_top1,0.094,0.158
Beauty,50%,shared_ffn,0.098,0.166
Beauty,50%,dense_route_rec,0.106,0.175
Beauty,50%,sequence_only,0.102,0.171
Beauty,50%,group_top1,0.107,0.177
ML-1M,5%,shared_ffn,0.058,0.106
ML-1M,5%,dense_route_rec,0.055,0.102
ML-1M,5%,sequence_only,0.057,0.105
ML-1M,5%,group_top1,0.059,0.108
ML-1M,10%,shared_ffn,0.066,0.118
ML-1M,10%,dense_route_rec,0.064,0.115
ML-1M,10%,sequence_only,0.066,0.118
ML-1M,10%,group_top1,0.067,0.12
ML-1M,20%,shared_ffn,0.077,0.133
ML-1M,20%,dense_route_rec,0.075,0.13
ML-1M,20%,sequence_only,0.077,0.133
ML-1M,20%,group_top1,0.079,0.136
ML-1M,50%,shared_ffn,0.091,0.151
ML-1M,50%,dense_route_rec,0.09,0.149
ML-1M,50%,sequence_only,0.091,0.151
ML-1M,50%,group_top1,0.093,0.154
