paper_section,panel,intervention,variant_or_model,metric,cutoff,value,split,selection_rule,run_id,source_path,notes,status
Q5,Q5_feature_intervention,full,RouteRec,NDCG,20,0.12,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,full,RouteRec,HR,10,0.189,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,shuffle_all,RouteRec,NDCG,20,0.109,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,shuffle_all,RouteRec,HR,10,0.175,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,repeat_flatten,RouteRec,NDCG,20,0.112,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,repeat_flatten,RouteRec,HR,10,0.179,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,switch_boost,RouteRec,NDCG,20,0.114,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,switch_boost,RouteRec,HR,10,0.181,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,tempo_compress,RouteRec,NDCG,20,0.116,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,tempo_compress,RouteRec,HR,10,0.183,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,popularity_spike,RouteRec,NDCG,20,0.117,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
Q5,Q5_feature_intervention,popularity_spike,RouteRec,HR,10,0.185,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/eval_exports/feature_intervention_scores.csv,Placeholder until eval-time semantic intervention export is added.,placeholder_requires_logging
