paper_section,panel,slice_name,variant_or_model,metric,cutoff,value,split,selection_rule,run_id,source_path,notes,status
Q5,Q5_slice_quality,repeat-heavy,best_baseline,NDCG,20,0.112,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,repeat-heavy,best_baseline,HR,10,0.181,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,repeat-heavy,shared_ffn,NDCG,20,0.114,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,repeat-heavy,shared_ffn,HR,10,0.183,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,repeat-heavy,RouteRec,NDCG,20,0.12,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,repeat-heavy,RouteRec,HR,10,0.189,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,fast-tempo,best_baseline,NDCG,20,0.107,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,fast-tempo,best_baseline,HR,10,0.171,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,fast-tempo,shared_ffn,NDCG,20,0.11,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,fast-tempo,shared_ffn,HR,10,0.176,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,fast-tempo,RouteRec,NDCG,20,0.119,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,fast-tempo,RouteRec,HR,10,0.187,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,focused,best_baseline,NDCG,20,0.109,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,focused,best_baseline,HR,10,0.174,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,focused,shared_ffn,NDCG,20,0.111,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,focused,shared_ffn,HR,10,0.178,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,focused,RouteRec,NDCG,20,0.117,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,focused,RouteRec,HR,10,0.184,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,exploration-heavy,best_baseline,NDCG,20,0.101,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,exploration-heavy,best_baseline,HR,10,0.164,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,exploration-heavy,shared_ffn,NDCG,20,0.104,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,exploration-heavy,shared_ffn,HR,10,0.169,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,exploration-heavy,RouteRec,NDCG,20,0.114,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
Q5,Q5_slice_quality,exploration-heavy,RouteRec,HR,10,0.181,test,best_valid_seen_target,template_seed,experiments/run/fmoe_n4/diag_exports/behavior_slice_quality.csv,Appendix slice summary placeholder.,placeholder_requires_logging
