dataset,variant,effective_experts,route_entropy,top_share
Beauty,dense_global,9.6,1.86,0.24
Beauty,global_top2,2.0,0.83,0.57
Beauty,global_top4,4.0,1.19,0.42
Beauty,group_dense,6.8,1.47,0.34
Beauty,group_top1,4.0,1.02,0.49
Beauty,group_top2,7.2,1.31,0.38
KuaiRec,dense_global,10.1,1.92,0.22
KuaiRec,global_top2,2.0,0.79,0.59
KuaiRec,global_top4,4.0,1.16,0.45
KuaiRec,group_dense,7.1,1.5,0.33
KuaiRec,group_top1,4.0,0.98,0.52
KuaiRec,group_top2,7.4,1.28,0.39
Retail Rocket,dense_global,8.9,1.74,0.27
Retail Rocket,global_top2,2.0,0.76,0.61
Retail Rocket,global_top4,4.0,1.11,0.46
Retail Rocket,group_dense,6.5,1.39,0.36
Retail Rocket,group_top1,4.0,0.94,0.53
Retail Rocket,group_top2,6.9,1.22,0.41
ML-1M,dense_global,8.2,1.68,0.29
ML-1M,global_top2,2.0,0.74,0.63
ML-1M,global_top4,4.0,1.08,0.48
ML-1M,group_dense,6.1,1.34,0.38
ML-1M,group_top1,4.0,0.91,0.56
ML-1M,group_top2,6.4,1.17,0.43
