dataset,slice_name,pc1,pc2,dominant_family,route_concentration
Beauty,Repeat-prone,-1.25,0.82,Memory,0.72
Beauty,Fast-moving,1.18,0.94,Tempo,0.64
Beauty,Narrow-focus,-0.88,-0.92,Focus,0.69
Beauty,Exploratory,1.24,-1.06,Exposure,0.57
KuaiRec,Repeat-prone,-1.06,0.73,Memory,0.68
KuaiRec,Fast-moving,1.32,1.06,Tempo,0.66
KuaiRec,Narrow-focus,-0.71,-0.82,Focus,0.63
KuaiRec,Exploratory,1.39,-1.19,Exposure,0.60
Retail Rocket,Repeat-prone,-1.12,0.69,Memory,0.70
Retail Rocket,Fast-moving,1.02,0.86,Tempo,0.62
Retail Rocket,Narrow-focus,-0.94,-0.74,Focus,0.67
Retail Rocket,Exploratory,1.16,-1.02,Exposure,0.56
