signal_family,quantile_bin,relative_gain,route_concentration
repeat_ratio,Q1,0.021,0.51
repeat_ratio,Q2,0.036,0.56
repeat_ratio,Q3,0.052,0.61
repeat_ratio,Q4,0.068,0.66
repeat_ratio,Q5,0.079,0.7
mean_gap,Q1,0.081,0.71
mean_gap,Q2,0.069,0.67
mean_gap,Q3,0.053,0.62
mean_gap,Q4,0.037,0.58
mean_gap,Q5,0.024,0.53
focus_entropy,Q1,0.073,0.69
focus_entropy,Q2,0.062,0.65
focus_entropy,Q3,0.048,0.61
focus_entropy,Q4,0.031,0.57
focus_entropy,Q5,0.02,0.52
switch_rate,Q1,0.018,0.5
switch_rate,Q2,0.029,0.54
switch_rate,Q3,0.043,0.6
switch_rate,Q4,0.066,0.67
switch_rate,Q5,0.088,0.74
