paper_section,panel,intervention,expert_group,delta_mass,source_path,notes,status
Q5,Q5_feature_shift,shuffle_all,memory,-0.08,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,shuffle_all,focus,-0.03,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,shuffle_all,tempo,-0.06,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,shuffle_all,exposure,-0.04,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,repeat_flatten,memory,-0.19,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,repeat_flatten,focus,0.04,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,repeat_flatten,tempo,0.03,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,repeat_flatten,exposure,0.06,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,switch_boost,memory,-0.04,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,switch_boost,focus,0.18,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,switch_boost,tempo,0.01,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,switch_boost,exposure,0.02,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,tempo_compress,memory,-0.02,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,tempo_compress,focus,0.01,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,tempo_compress,tempo,0.17,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,tempo_compress,exposure,0.02,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,popularity_spike,memory,0.01,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,popularity_spike,focus,0.02,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,popularity_spike,tempo,0.01,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
Q5,Q5_feature_shift,popularity_spike,exposure,0.21,experiments/run/fmoe_n4/eval_exports/feature_intervention_shift.csv,Placeholder until counterfactual family-mass deltas are exported.,placeholder_requires_logging
