paper_section,panel,dataset,variant_or_model,metric,cutoff,value,split,selection_rule,run_id,source_path,notes,status
Q2,Q2_quality,Beauty,shared_ffn,NDCG,20,0.068,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Beauty,shared_ffn,HR,10,0.118,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Beauty,hidden_only,NDCG,20,0.072,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Beauty,hidden_only,HR,10,0.125,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Beauty,mixed_hidden_behavior,NDCG,20,0.075,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Beauty,mixed_hidden_behavior,HR,10,0.13,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Beauty,behavior_guided,NDCG,20,0.081,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Beauty,behavior_guided,HR,10,0.139,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Foursquare,shared_ffn,NDCG,20,0.134,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
Q2,Q2_quality,Foursquare,shared_ffn,HR,10,0.241,test,best_valid_seen_target,template_seed,writing/results/02_routing_control/02a_routing_control_quality.csv,Draft-fill values for layout preview. Replace with confirm export.,draft_fill
