dataset,mode,setting,ndcg20,hr10,effective_experts
Beauty,global,dense_mix,0.108,0.162,7.8
Beauty,global,top_8,0.107,0.161,6.0
Beauty,global,top_4,0.106,0.159,4.2
Beauty,global,top_2,0.103,0.154,2.4
Beauty,grouped,dense_in_group,0.107,0.160,5.4
Beauty,grouped,top_2_per_group,0.105,0.157,3.6
Beauty,grouped,top_1_per_group,0.104,0.155,2.5
KuaiRec,global,dense_mix,0.152,0.186,7.4
KuaiRec,global,top_8,0.151,0.185,5.9
KuaiRec,global,top_4,0.150,0.184,4.1
KuaiRec,global,top_2,0.147,0.180,2.3
KuaiRec,grouped,dense_in_group,0.151,0.185,5.2
KuaiRec,grouped,top_2_per_group,0.149,0.183,3.5
KuaiRec,grouped,top_1_per_group,0.148,0.182,2.4
Retail Rocket,global,dense_mix,0.355,0.468,7.6
Retail Rocket,global,top_8,0.355,0.468,6.1
Retail Rocket,global,top_4,0.353,0.465,4.4
Retail Rocket,global,top_2,0.349,0.460,2.5
Retail Rocket,grouped,dense_in_group,0.354,0.467,5.5
Retail Rocket,grouped,top_2_per_group,0.352,0.464,3.8
Retail Rocket,grouped,top_1_per_group,0.351,0.463,2.6
ML-1M,global,dense_mix,0.096,0.156,7.3
ML-1M,global,top_8,0.096,0.156,5.8
ML-1M,global,top_4,0.095,0.154,4.0
ML-1M,global,top_2,0.093,0.151,2.2
ML-1M,grouped,dense_in_group,0.095,0.155,5.0
ML-1M,grouped,top_2_per_group,0.094,0.153,3.3
ML-1M,grouped,top_1_per_group,0.093,0.151,2.3
