dataset,group,family,polarity,rows_total,sessions_total,support_rows,support_sessions,core_q_used,mid_q_used,core_score_mean,offaxis_mid_mean,memory_plus_mean,focus_plus_mean,tempo_plus_mean,exposure_plus_mean,shortlist_sessions
KuaiRecLargeStrictPosV2_0.2,memory_plus,memory,plus,14614,3669,1104,737,0.85,0.5,0.46861262643603624,0.7134313942355323,0.46861262643603624,0.3550797679878986,0.6145961735725441,0.5161561672736932,8
KuaiRecLargeStrictPosV2_0.2,memory_minus,memory,minus,14614,3669,1022,137,0.85,0.5,0.9953709581203798,0.7120876136090943,0.004629041879620353,0.21816471430829748,0.5129975679068363,0.5254171425296493,8
KuaiRecLargeStrictPosV2_0.2,focus_plus,focus,plus,14614,3669,1713,1154,0.85,0.5,0.5872562307100525,0.6847935874635481,0.23191537069005486,0.5872562307100525,0.5502758086958704,0.5146932187095348,8
KuaiRecLargeStrictPosV2_0.2,focus_minus,focus,minus,14614,3669,420,266,0.85,0.5,0.9479398764859523,0.6056359981357735,0.02187348004155714,0.05206012351404763,0.48452772087126983,0.5126682132762301,8
KuaiRecLargeStrictPosV2_0.2,tempo_plus,tempo,plus,14614,3669,1630,673,0.85,0.5,0.8113864069877589,0.7258449645213333,0.4479196099563988,0.321848615129411,0.8113864069877589,0.5274944469838998,8
KuaiRecLargeStrictPosV2_0.2,tempo_minus,tempo,minus,14614,3669,616,495,0.85,0.5,0.8353010613588745,0.583144726455102,0.15589346534922727,0.32565526829353897,0.16469893864112553,0.5258547467375166,8
KuaiRecLargeStrictPosV2_0.2,exposure_plus,exposure,plus,14614,3669,1166,553,0.85,0.5,0.657722433007115,0.6015357850570261,0.2762098593131681,0.34155859862656945,0.5376627565164761,0.657722433007115,8
KuaiRecLargeStrictPosV2_0.2,exposure_minus,exposure,minus,14614,3669,954,771,0.85,0.5,0.6757859822987746,0.5972978395941665,0.24594733620882178,0.3529560899754717,0.5173081016517475,0.3242140177012253,8
lastfm0.03,memory_plus,memory,plus,49241,3764,3014,605,0.85,0.5,0.36177818568750963,0.7517241383594102,0.36177818568750963,0.5288978162647584,0.5137001588544354,0.5721578827036452,8
lastfm0.03,memory_minus,memory,minus,49241,3764,4937,201,0.85,0.5,0.9950728112923387,0.7662560395362967,0.004927188707661333,0.4558983584415924,0.5226547321538741,0.5468644252539802,8
lastfm0.03,focus_plus,focus,plus,49241,3764,5232,1057,0.85,0.5,1.0,0.6322319346958747,0.17436094511784825,1.0,0.520792001720362,0.5622017659223867,8
lastfm0.03,focus_minus,focus,minus,49241,3764,3120,696,0.85,0.5,0.8294396031874679,0.6084411711532213,0.07098996632032052,0.17056039681253207,0.4986782406206226,0.5386988995399573,8
lastfm0.03,tempo_plus,tempo,plus,49241,3764,3275,693,0.85,0.5,0.8097272112957394,0.6021424523981244,0.20041465879102657,0.5555943769481735,0.8097272112957394,0.5648471350955104,8
lastfm0.03,tempo_minus,tempo,minus,49241,3764,3804,1260,0.85,0.5,0.8584670712665089,0.5693054492065469,0.0885719124704101,0.48042809551279236,0.14153292873349105,0.5249245609328741,8
lastfm0.03,exposure_plus,exposure,plus,49241,3764,3072,619,0.85,0.5,0.6825205125278971,0.5543244250423683,0.2473043696912324,0.646933361820614,0.5259226641827964,0.6825205125278971,8
lastfm0.03,exposure_minus,exposure,minus,49241,3764,3352,1169,0.85,0.5,0.5999874474810094,0.5355758278012794,0.09615357719100716,0.5309679235219731,0.4731727906838667,0.4000125525189906,8
beauty,memory_plus,memory,plus,3468,637,439,177,0.85,0.5,0.03999999999999999,0.7292333767261129,0.03999999999999999,0.4785890830084735,0.6145863877244288,0.4321272940061612,8
beauty,memory_minus,memory,minus,3468,637,260,53,0.85,0.5,0.9923166474907532,0.7012073804863875,0.007683352509246811,0.3891751116927275,0.43665687812343185,0.35850747222377305,8
beauty,focus_plus,focus,plus,3468,637,356,229,0.85,0.5,0.7033316981946314,0.5539770226570289,0.028878361212170085,0.7033316981946314,0.5593248897212646,0.45829504447235536,8
beauty,focus_minus,focus,minus,3468,637,229,108,0.85,0.5,0.9110397900529501,0.4793740710563884,0.02556621926899124,0.08896020994704985,0.5606838823286274,0.37387393005859115,8
beauty,tempo_plus,tempo,plus,3468,637,535,188,0.85,0.5,0.8081886236146831,0.5134741933207615,0.03195278498302137,0.4152143224787664,0.8081886236146831,0.4009628264505497,8
beauty,tempo_minus,tempo,minus,3468,637,203,114,0.85,0.5,0.9367599493815233,0.49771618487388986,0.022221865088819927,0.4214992049049162,0.0632400506184767,0.34280965862155977,8
beauty,exposure_plus,exposure,plus,3468,637,431,364,0.85,0.5,0.5259294551135575,0.5260167255173279,0.030259549241180378,0.551679418658549,0.5551856989420275,0.5259294551135575,8
beauty,exposure_minus,exposure,minus,3468,637,238,95,0.85,0.5,0.6824248501897872,0.45115138109774067,0.022099963870324653,0.38915481401759405,0.5616019699827838,0.31757514981021273,8
foursquare,memory_plus,memory,plus,15223,3806,1056,362,0.85,0.5,0.30331879054224625,0.7689856509042944,0.30331879054224625,0.44033687358064394,0.43327271496215686,0.5769639038070075,8
foursquare,memory_minus,memory,minus,15223,3806,1134,289,0.85,0.5,0.9765413319514075,0.7889204296492094,0.023458668048592594,0.4105415597303527,0.4965446355482084,0.5110619992375661,8
foursquare,focus_plus,focus,plus,15223,3806,1316,753,0.85,0.5,0.8252164772348632,0.6497854697435052,0.13840053604866415,0.8252164772348632,0.4707298223332848,0.5347514925129939,8
foursquare,focus_minus,focus,minus,15223,3806,608,298,0.85,0.5,0.9343420743355264,0.6391031404105599,0.14787253968348685,0.06565792566447369,0.44492156314222586,0.5364989975390351,8
foursquare,tempo_plus,tempo,plus,15223,3806,705,417,0.85,0.5,0.7335569402096808,0.6200461653863338,0.11687770187675463,0.47486888393469506,0.7335569402096808,0.5506851537850591,8
foursquare,tempo_minus,tempo,minus,15223,3806,604,378,0.85,0.5,0.8375052390956954,0.639870377468649,0.2601615095373576,0.36703024066778145,0.16249476090430465,0.5659553343907836,8
foursquare,exposure_plus,exposure,plus,15223,3806,1203,626,0.85,0.5,0.6816873679381823,0.6264002396603691,0.23283857704758434,0.4528918230811971,0.4322710913836011,0.6816873679381823,8
foursquare,exposure_minus,exposure,minus,15223,3806,717,606,0.85,0.5,0.6558031079085309,0.6049458347436609,0.08529162359512134,0.47088005378496517,0.461239274709114,0.3441968920914691,8
movielens1m,memory_plus,memory,plus,79524,2181,5338,710,0.85,0.5,0.014306131153290744,0.7816309486745163,0.014306131153290744,0.4623794337738179,0.4664176884741551,0.5670943899624784,8
movielens1m,memory_minus,memory,minus,79524,2181,29096,1101,0.85,0.5,0.9959183673460001,0.7732612764695815,0.004081632654000001,0.4316954362018762,0.4971553302700195,0.5646391771129581,8
movielens1m,focus_plus,focus,plus,79524,2181,7268,958,0.85,0.5,0.7457790462043252,0.5658034237111378,0.008462413375587508,0.7457790462043252,0.5005499389319249,0.5590077024189474,8
movielens1m,focus_minus,focus,minus,79524,2181,5388,586,0.85,0.5,0.8605720730100557,0.5568072954020699,0.005992022099371196,0.13942792698994433,0.4891586522224406,0.5723167692595037,8
movielens1m,tempo_plus,tempo,plus,79524,2181,5622,784,0.85,0.5,0.7405169330711758,0.535325273555286,0.004900181997571683,0.46198923082147175,0.7405169330711758,0.5742052399053125,8
movielens1m,tempo_minus,tempo,minus,79524,2181,5383,892,0.85,0.5,0.9545407824023777,0.5348068385943305,0.0060280155426368194,0.4044807425347847,0.045459217597622135,0.5395215475555443,8
movielens1m,exposure_plus,exposure,plus,79524,2181,6271,1085,0.85,0.5,0.6628526708200467,0.5045944972127897,0.0072568597389175565,0.41716902666007266,0.5093245339126471,0.6628526708200467,8
movielens1m,exposure_minus,exposure,minus,79524,2181,5666,1323,0.85,0.5,0.5859486884765146,0.5076460302022981,0.005525490442197671,0.4480033638550011,0.4751492750030339,0.4140513115234854,8
retail_rocket,memory_plus,memory,plus,99387,22964,3977,2118,0.85,0.5,0.5900223185339181,0.5967198339751002,0.5900223185339181,0.9100274191531662,0.4755281335545716,0.5401802078208181,8
retail_rocket,memory_minus,memory,minus,99387,22964,8059,2202,0.85,0.5,0.9640129991425523,0.6305363497010696,0.035987000857447576,0.828429340279375,0.4573330792978232,0.5082511057460252,8
retail_rocket,focus_plus,focus,plus,99387,22964,43646,16458,0.85,0.5,1.0,0.7134016445107617,0.2950407187395371,1.0,0.4935345386921857,0.5480361229662808,8
retail_rocket,focus_minus,focus,minus,99387,22964,5475,1415,0.85,0.5,0.45818021221588023,0.7076757182480362,0.2656485701878228,0.5418197877841198,0.4129664675801009,0.5220959411628384,8
retail_rocket,tempo_plus,tempo,plus,99387,22964,6303,3156,0.85,0.5,0.7836771852635499,0.5069270169897335,0.4113114473929209,0.9476588073596702,0.7836771852635499,0.5397088703563647,8
retail_rocket,tempo_minus,tempo,minus,99387,22964,8791,3640,0.85,0.5,0.8695226519746142,0.5507547457879515,0.30805561182793356,0.6717441668766209,0.1304773480253858,0.5363061503874816,8
retail_rocket,exposure_plus,exposure,plus,99387,22964,8604,3788,0.85,0.5,0.7475114988945413,0.4978170721285239,0.4238046908830331,0.9859896377720242,0.48296122663268226,0.7475114988945413,8
retail_rocket,exposure_minus,exposure,minus,99387,22964,6431,3634,0.85,0.5,0.6478781231117561,0.48555231849547453,0.2875985204652521,0.8460298939079988,0.46313376515091004,0.3521218768882439,8
