anchor_best_valid_mrr20,anchor_setting_key,anchor_test_mrr20,axis_label,best_run_phase,best_setting_key,best_test_mrr20,best_valid_mrr20,claim_bucket,delta_best_test_vs_anchor,delta_best_valid_vs_anchor,diag_missing_count,evidence_source,expectation_type,expected_pattern,match_flag,mean_cold_main,mean_diag_cv_main,mean_diag_n_eff_main,mean_diag_top1_main,mean_long_session_main,mean_test_main,mean_valid_main,n_rows_dedup,n_rows_main,observed_tag,paper_claim_template,phase_title,plan_intent,setting_group,source_phase,special_missing_count
0.081025,C0-mean,0.1603625,Natural,P9_B4_C0_N4_S1,B4_C0_N4,0.1591,0.0827,,-0.0012624999999999997,0.001674999999999996,0,phase8_9/phase9_main.csv,tradeoff_or_stability,"보수적 개선 또는 유지, 큰 붕괴 없이 자연 분포",1,0.11670604257128663,0.7245359803086024,8.671018300849703,0.41747405289428524,,0.1603625,0.081025,16,16,observed_phase9_concept,약한 정규화만으로도 안정적인 성능대를 유지할 수 있다.,Aux Loss Concept Study,aux 최소/약한 안정화로 baseline 대비 변화 확인,C0_Natural,P9,0
0.08109375,C1-mean,0.16040625,CanonicalBalance,P9_B3_C1_B1_S1,B3_C1_B1,0.1595,0.0826,,-0.0009062499999999973,0.0015062500000000006,0,phase8_9/phase9_main.csv,tradeoff_or_stability,"valid 안정성 개선 가능, 강도 과다 시 test 손실 위험",1,0.11592077031523443,0.5990310698417589,9.039262056808399,0.37432405524345197,,0.16040625,0.08109375,16,16,observed_phase9_concept,균형 유도는 성능/안정성 trade-off를 조절하는 핵심 축이다.,Aux Loss Concept Study,expert/group usage 균형 유도로 안정성 향상 검증,C1_CanonicalBalance,P9,0
0.08065,C2-mean,0.16104374999999999,Specialization,P9_B1_C2_S3_S1,B1_C2_S3,0.1596,0.0818,,-0.0014437499999999936,0.0011499999999999982,0,phase8_9/phase9_main.csv,target_near_or_better,"특정 base에서 고점, 과도 특화는 일반화 하락 가능",1,0.11872888692740502,0.908402904057825,8.45844895063159,0.44118427646783764,,0.16104374999999999,0.08065,16,16,observed_phase9_concept,적절한 특화는 유효하지만 과도 집중은 일반화 리스크를 만든다.,Aux Loss Concept Study,route 집중(특화)과 일반화 손실 간 균형 확인,C2_Specialization,P9,0
0.08091333333333334,C3-mean,0.16040000000000001,FeatureAlignment,P9_B2_C3_F2_S1,B2_C3_F2,0.1593,0.082,,-0.0011000000000000176,0.0010866666666666663,0,phase8_9/phase9_main.csv,target_near_or_better,feature-rich 조건에서 상대 이득 가능,1,0.1166267148913193,0.6545982441250043,8.747656117344423,0.4373806865682105,,0.16040000000000001,0.08091333333333334,15,15,observed_phase9_concept,feature-aligned routing은 성능 분포를 유의미하게 이동시킨다.,Aux Loss Concept Study,feature prior와 routing 정렬 효과 검증,C3_FeatureAlignment,P9,0
0.0813,P10-00_FULL,0.1618,Availability ablation,P10_18_NO_CATEGORY_S1,P10-18_NO_CATEGORY,0.1582,0.082,P10:availability,-0.003599999999999992,0.0007000000000000062,0,phase10_13/intent_vs_observed_summary.csv,tradeoff_or_stability,"Moderate degradation, not catastrophic collapse.",1,0.11690075911543668,0.6657276978147839,6.2250810031481985,0.5017518071803959,0.16955773966190368,0.1598,0.08145,2,2,matched_tradeoff,The framework remains functional even under partial feature availability constraints.,Feature Portability / Compactness,Drop category/timestamp families structurally to test portability under missing common metadata.,availability,P10,0
0.0813,P10-00_FULL,0.1618,Availability plus,,,,,P10:availability_plus,,,0,phase10_13/intent_vs_observed_summary.csv,control_expected_drop,Noticeable degradation; useful as stress-control evidence.,0,,,,,,,,0,0,no_anchor,Severe multi-signal removal reveals the boundary of portability.,Feature Portability / Compactness,Stress missing-signal conditions with combined category+timestamp removals.,availability_plus,P10,0
0.0813,P10-00_FULL,0.1618,Intra-group compactness,P10_15_TOP2_PER_GROUP_S1,P10-15_TOP2_PER_GROUP,0.1608,0.0812,P10:compactness,-0.0010000000000000009,-0.00010000000000000286,0,phase10_13/intent_vs_observed_summary.csv,tradeoff_or_stability,Small-to-moderate drop from anchor while retaining strong test behavior.,1,0.1163004362879093,0.9553748801231827,7.224518472301786,0.6380083242536175,0.17043031619728632,0.16063333333333332,0.08093333333333333,3,3,matched_tradeoff,Few representative signals per family are sufficient for robust feature-aware routing.,Feature Portability / Compactness,Reduce feature count within each family (TOP2/TOP1/common template) to test reusable compact templates.,compactness,P10,0
0.0813,P10-00_FULL,0.1618,Compactness plus,,,,,P10:compactness_plus,,,0,phase10_13/intent_vs_observed_summary.csv,tradeoff_or_stability,Moderate drop but non-trivial residual performance.,0,,,,,,,,0,0,no_anchor,Even stricter compactness-plus settings preserve a meaningful portion of gains.,Feature Portability / Compactness,Combine compact template with category removal for stricter portability checks.,compactness_plus,P10,0
0.0813,P10-00_FULL,0.1618,Family subset lattice,P10_14_FOCUS_MEMORY_EXPOSURE_S1,P10-14_Focus_Memory_Exposure,0.1587,0.0824,P10:group_subset,-0.0030999999999999917,0.0011000000000000038,0,phase10_13/intent_vs_observed_summary.csv,target_near_or_better,Competitive or near-anchor valid/test with interpretable family sensitivity.,1,0.11775407224143826,0.3668958248186467,5.3624516619278095,0.4615031236459664,0.170297193202273,0.16074666666666668,0.0803,15,15,matched_gain,"A compact subset of feature families can preserve most of the gain, indicating portability beyond large handcrafted banks.",Feature Portability / Compactness,Identify which feature families are necessary and whether 2~3-family subsets stay near full setting.,group_subset,P10,0
0.0813,P10-00_FULL,0.1618,Stochastic usage,P10_21_FEATURE_DROPOUT_S1,P10-21_FEATURE_DROPOUT,0.1621,0.0811,P10:stochastic,0.0002999999999999947,-0.00019999999999999185,0,phase10_13/intent_vs_observed_summary.csv,target_near_or_better,Comparable or slightly better test generalization with stable router diagnostics.,1,0.12196968428017396,0.10078024183571536,11.876559426628233,0.21415339387471558,0.17115822196108862,0.16215000000000002,0.081,2,2,near_anchor,Stochastic feature usage improves robustness without requiring larger feature banks.,Feature Portability / Compactness,Apply feature/family dropout during training to probe robustness to feature availability variation.,stochastic,P10,0
0.0829,P11-00_MACRO_MID_MICRO,0.1573,Base stage ablation,P11_A00_H1_S1,P11-00_MACRO_MID_MICRO,0.1573,0.0829,P11:base_ablation,0.0,0.0,0,phase10_13/intent_vs_observed_summary.csv,target_near_or_better,Full 3-stage or select 2-stage settings should lead; single-stage likely weaker.,1,0.11847751486838705,0.6128139012884839,9.284461884917741,0.4041631069599577,0.17034938252247644,0.16074285714285713,0.08009999999999999,7,7,matched_gain,"Performance depends on temporal-horizon decomposition, not just MoE presence.",Stage Semantics / Necessity / Granularity,Test whether macro/mid/micro decomposition is meaningful versus reduced stage sets.,base_ablation,P11,0
0.0829,P11-00_MACRO_MID_MICRO,0.1573,Depth controls,P11_A23_H1_S1,P11-23_LAYER2_MACRO_MID_MICRO,0.1619,0.0815,P11:extra_alignment,0.004599999999999993,-0.0013999999999999985,1,phase10_13/intent_vs_observed_summary.csv,control_expected_drop,Control settings should not dominate best stage-semantic variants.,1,0.1167764430849425,0.14505330220182552,11.752717653998058,0.24750373070047677,0.17013011470267025,0.1607,0.0799,2,2,matched_control_drop,Improvements are not explained by generic depth increases alone.,Stage Semantics / Necessity / Granularity,Use layer-only controls to reject purely depth-driven explanations.,extra_alignment,P11,0
0.0829,P11-00_MACRO_MID_MICRO,0.1573,Stage order permutation,P11_A17_H1_S1,P11-17_MICRO_MACRO_MID,0.1593,0.0832,P11:order_permutation,0.0020000000000000018,0.0002999999999999947,0,phase10_13/intent_vs_observed_summary.csv,target_near_or_better,Order differences are visible; a few permutations may compete strongly.,1,0.11863536924880717,0.5033318591670299,9.593222136128167,0.396980537713075,0.170864278318185,0.1612,0.08212,5,5,matched_gain,"Ordering influences routing behavior, supporting stage-semantic interpretation.",Stage Semantics / Necessity / Granularity,Measure sensitivity to stage order to validate coarse-to-fine rationale.,order_permutation,P11,0
0.0829,P11-00_MACRO_MID_MICRO,0.1573,Prepend dense layer,P11_A07_H1_S1,P11-07_LAYER_MACRO_MID_MICRO,0.1618,0.0811,P11:prepend_layer,0.004500000000000004,-0.001799999999999996,0,phase10_13/intent_vs_observed_summary.csv,tradeoff_or_stability,No consistent domination over base-stage variants.,1,0.11983100331480909,0.3477351235544737,10.481382615493198,0.328852977001498,0.17044770881838173,0.16117142857142855,0.08009999999999999,7,7,partial_tradeoff,Stage decomposition contributes beyond simply adding dense contextualization depth.,Stage Semantics / Necessity / Granularity,Check if gains are just from extra dense depth before stage routing.,prepend_layer,P11,0
0.0829,P11-00_MACRO_MID_MICRO,0.1573,Routing granularity,P11_A20_H1_S1,P11-20_SESSION_TOKEN_TOKEN,0.1603,0.0819,P11:routing_granularity,0.0030000000000000027,-0.0010000000000000009,0,phase10_13/intent_vs_observed_summary.csv,tradeoff_or_stability,Session-aware variants should remain competitive and interpretable.,1,0.12048021106794655,0.29280359902275827,10.737090381779998,0.20705107983363424,0.17060943548177346,0.16113333333333332,0.0815,3,3,matched_tradeoff,Macro/mid routing behaves naturally as session-regime routing.,Stage Semantics / Necessity / Granularity,Compare session-level and token-level routing for macro/mid stages.,routing_granularity,P11,0
0.0802,P12-00_ATTN_ONESHOT,0.1615,All-stage bundle,P12_A21_H1_S1,P12-21_BUNDLE_ALL_LEARNED,0.1593,0.0773,P12:bundle_all,-0.0022000000000000075,-0.0029,0,phase10_13/intent_vs_observed_summary.csv,control_expected_drop,Likely weaker than top serial/layout variants; acts as negative control.,1,0.12291909301978814,0.2661775244673419,11.173892659155479,0.1968385436359582,0.16908430666021826,0.15913333333333335,0.07703333333333333,3,3,matched_control_drop,Serial horizon separation is often preferable to collapsing all horizons at once.,Layout Composition / Attention Placement,Use all horizons simultaneously as aggressive alternative to serial decomposition.,bundle_all,P12,0
0.0802,P12-00_ATTN_ONESHOT,0.1615,Bundle chain,P12_A29_H1_S1,P12-29_BUNDLE_MACROMICRO_THEN_MIDMICRO_SUM,0.1579,0.0782,P12:bundle_chain,-0.003599999999999992,-0.001999999999999988,0,phase10_13/intent_vs_observed_summary.csv,control_expected_drop,Generally lower stability than top layout variants.,1,0.12092608391119408,0.4041922265445136,10.278920631744198,0.20389676419064495,0.1693574827699736,0.1590625,0.0776375,8,8,matched_control_drop,More complex bundle chains do not automatically improve routing quality.,Layout Composition / Attention Placement,Chain multiple bundles to test deeper interaction composition.,bundle_chain,P12,0
